accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
12.0,0.0,1.0,1691857800,4.0,2.0,0.018101,0.7724,0.0,2.0,68.0,3.0,8.0,0.0,16.0
8.0,0.0,0.0,1692471600,1.0,1.0,0.0278572,0.0,0.0,0.0,66.0,0.0,6.6,0.0,10.0
4.0,0.0,0.0,1693150200,4.0,2.0,0.0155714,0.1613,0.0,0.0,72.0,1.0,6.7,0.0,5.0
11.0,0.0,0.0,1693672200,3.0,5.0,0.0348237,0.4386,0.0,0.0,74.0,0.0,7.0,2.0,15.0
7.0,0.0,0.0,1695569400,1.0,2.0,0.0173303,0.6043,0.0,1.0,20.0,1.0,7.4,0.0,8.0
9.0,0.0,2.0,1696082400,3.0,1.0,0.0271609,1.8301,0.0,1.0,89.0,4.0,6.9,1.0,10.0
17.0,0.0,1.0,1696770000,5.0,6.0,0.0100872,1.6024,0.0,2.0,86.0,2.0,8.4,1.0,21.0
5.0,0.0,0.0,1697896800,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,6.5,0.0,6.0
9.0,0.0,0.0,1700924400,5.0,1.0,0.0101007,0.636,0.0,1.0,81.0,1.0,7.0,0.0,12.0
33.0,1.0,1.0,1701547200,4.0,2.0,0.742371,0.3436,0.0,0.0,90.0,0.0,6.9,1.0,39.0
10.0,0.0,1.0,1701977400,9.0,1.0,0.0091657,0.4526,0.0,0.0,90.0,0.0,6.4,2.0,16.0
12.0,0.0,1.0,1702225800,4.0,1.0,0.0558153,0.7711,0.0,0.0,64.0,0.0,6.3,1.0,13.0
16.0,0.0,0.0,1703343600,1.0,4.0,0.204262,0.0,0.0,0.0,52.0,0.0,6.9,0.0,20.0
21.0,0.0,2.0,1703593800,4.0,6.0,0.149789,1.3533,0.0,1.0,90.0,5.0,7.9,0.0,26.0
9.0,0.0,0.0,1704139200,3.0,2.0,0.0282048,0.2542,0.0,1.0,90.0,1.0,7.1,0.0,12.0
7.0,0.0,3.0,1705167000,3.0,0.0,0.0200632,0.8402,0.0,1.0,90.0,3.0,6.2,0.0,10.0
5.0,0.0,0.0,1706645700,2.0,1.0,0.00837888,0.0367,0.0,0.0,43.0,0.0,6.7,1.0,5.0
7.0,0.0,0.0,1708804800,1.0,3.0,0.00670796,0.0463,0.0,0.0,64.0,0.0,6.7,1.0,9.0
11.0,0.0,0.0,1709391600,4.0,0.0,0.00838855,0.6973,0.0,1.0,70.0,2.0,7.1,0.0,17.0
17.0,0.0,0.0,1710187200,7.0,3.0,0.0211658,0.0867,0.0,1.0,90.0,1.0,7.2,2.0,21.0
25.0,1.0,0.0,1711801800,5.0,1.0,0.200114,1.8728,1.0,2.0,90.0,2.0,9.0,2.0,29.0
13.0,0.0,1.0,1712082600,7.0,3.0,0.264136,1.3383,0.0,1.0,90.0,3.0,7.6,0.0,19.0
12.0,0.0,1.0,1712412000,3.0,2.0,0.0130629,0.2488,0.0,0.0,90.0,2.0,6.8,0.0,13.0
6.0,0.0,1.0,1713007800,3.0,4.0,0.0161732,1.5117,0.0,2.0,90.0,2.0,8.3,2.0,9.0
20.0,1.0,0.0,1713985200,5.0,6.0,0.0371165,0.0589,0.0,0.0,90.0,0.0,7.1,0.0,24.0
15.0,0.0,0.0,1714226400,4.0,3.0,0.0956123,1.3127,0.0,2.0,90.0,3.0,8.5,1.0,20.0
14.0,0.0,2.0,1714831200,3.0,1.0,0.072392,1.6346,0.0,1.0,77.0,3.0,6.7,1.0,17.0
6.0,0.0,1.0,1715436000,3.0,1.0,0.0114234,0.1969,0.0,0.0,68.0,1.0,6.4,0.0,7.0
21.0,0.0,1.0,1715799600,4.0,5.0,0.145953,0.3199,0.0,0.0,90.0,0.0,6.9,2.0,23.0
17.0,2.0,2.0,1716130800,3.0,3.0,0.498516,0.8725,1.0,1.0,81.0,3.0,7.9,1.0,22.0
