accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
18,2.0,0.0,1691857800,8,11,0.36071,0.0682,1.0,0.0,68,0.0,7.7,0.0,21
14,0.0,0.0,1692471600,4,2,0.0,0.0883,0.0,0.0,56,0.0,6.5,1.0,15
24,0.0,0.0,1693150200,5,5,0.21579,0.6393,0.0,1.0,72,3.0,8.0,1.0,26
27,0.0,0.0,1693672200,2,6,0.0360339,0.1955,0.0,0.0,90,0.0,7.0,1.0,29
23,0.0,0.0,1694881800,8,6,0.127862,0.0,0.0,0.0,90,0.0,7.1,0.0,29
25,3.0,1.0,1695569400,6,8,0.433576,0.6676,1.0,1.0,78,3.0,9.4,1.0,32
15,0.0,0.0,1696082400,6,11,0.0158261,0.0548,0.0,0.0,90,1.0,7.6,0.0,22
23,0.0,1.0,1697896800,3,2,0.0488235,0.7466,0.0,1.0,70,1.0,7.2,1.0,26
29,0.0,0.0,1698510600,10,3,0.0291283,0.0835,0.0,0.0,90,0.0,6.4,1.0,31
20,0.0,0.0,1699119000,3,4,0.0339751,0.732,0.0,1.0,90,1.0,7.4,0.0,24
19,0.0,0.0,1699723800,7,7,0.0377667,0.0657,0.0,0.0,90,1.0,6.9,0.0,22
17,1.0,0.0,1700924400,9,5,0.235771,0.1309,1.0,1.0,89,1.0,8.0,0.0,20
26,0.0,0.0,1701547200,3,5,0.129108,0.7383,0.0,1.0,89,2.0,7.9,0.0,32
21,0.0,1.0,1701977400,9,4,0.026808,0.3216,0.0,0.0,90,1.0,6.8,2.0,27
17,1.0,0.0,1702225800,5,2,0.0874264,0.0515,0.0,0.0,73,0.0,6.8,1.0,23
29,1.0,1.0,1702738800,2,3,0.39195,0.2957,1.0,0.0,84,1.0,8.0,3.0,33
23,1.0,0.0,1703343600,5,4,0.187921,0.1172,0.0,0.0,90,0.0,7.1,2.0,28
25,0.0,1.0,1703593800,8,4,0.0889598,0.4077,0.0,0.0,90,1.0,6.4,0.0,29
16,1.0,0.0,1704139200,7,11,0.363795,0.0225,1.0,0.0,90,1.0,7.7,0.0,22
10,0.0,0.0,1705167000,3,4,0.0806568,0.1421,0.0,1.0,86,1.0,7.3,0.0,13
20,0.0,1.0,1706645700,7,10,0.064115,0.4132,0.0,0.0,89,1.0,6.8,0.0,23
9,0.0,0.0,1706972400,2,1,0.0420651,0.2936,0.0,0.0,45,1.0,6.8,1.0,16
31,0.0,0.0,1707586200,7,4,0.136225,0.0586,0.0,0.0,89,0.0,7.0,1.0,36
16,0.0,0.0,1708182000,7,4,0.0280432,1.0632,0.0,1.0,90,2.0,7.4,1.0,20
16,0.0,0.0,1708804800,4,3,0.00837863,0.0448,0.0,0.0,90,1.0,6.6,0.0,19
26,0.0,0.0,1709391600,4,4,0.0944476,0.2357,0.0,1.0,89,1.0,7.7,0.0,28
13,0.0,0.0,1710187200,4,1,0.0368721,0.0846,0.0,0.0,36,0.0,6.5,0.0,16
30,1.0,1.0,1711801800,4,5,0.138938,0.3499,1.0,0.0,90,1.0,7.9,2.0,36
19,0.0,0.0,1712412000,7,4,0.0225339,0.2625,0.0,0.0,89,2.0,7.4,3.0,26
11,1.0,1.0,1713007800,6,5,0.784181,0.6191,2.0,1.0,90,1.0,9.2,0.0,13
30,0.0,1.0,1713985200,6,11,0.0764341,0.1357,0.0,0.0,90,1.0,7.0,0.0,38
32,1.0,0.0,1714226400,5,7,0.34821,0.0,1.0,0.0,82,0.0,8.0,0.0,40
24,0.0,0.0,1714831200,7,6,0.334949,0.1381,1.0,0.0,85,1.0,8.1,1.0,31
27,1.0,0.0,1715436000,4,7,0.332303,0.1943,0.0,0.0,90,0.0,7.5,0.0,37
29,2.0,0.0,1715799600,7,6,0.200111,0.7648,0.0,1.0,90,1.0,8.4,1.0,39
