accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
10.0,1.0,0.0,1693654200,11.0,11.0,0.0477012,0.2615,0.0,0.0,90.0,0.0,7.5,2.0,16.0
6.0,0.0,0.0,1694964600,5.0,2.0,0.00516195,0.0,0.0,0.0,66.0,0.0,6.7,0.0,9.0
10.0,0.0,1.0,1695486600,7.0,11.0,0.0160979,0.4231,0.0,0.0,63.0,1.0,7.1,3.0,18.0
3.0,0.0,1.0,1696082400,3.0,3.0,0.0,0.4492,0.0,0.0,30.0,0.0,6.8,4.0,4.0
2.0,0.0,1.0,1696687200,2.0,3.0,0.0,0.3359,0.0,0.0,13.0,0.0,6.2,1.0,3.0
3.0,0.0,0.0,1697887800,7.0,7.0,0.00894189,0.0092,0.0,0.0,29.0,0.0,6.8,1.0,9.0
0.0,0.0,0.0,1699110000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,1699714800,5.0,5.0,0.0,0.0879,0.0,0.0,13.0,0.0,7.0,1.0,5.0
6.0,0.0,0.0,1701538200,12.0,8.0,0.023264,0.3178,0.0,0.0,82.0,0.0,6.9,3.0,12.0
4.0,0.0,0.0,1701977400,3.0,2.0,0.0,0.3265,0.0,1.0,16.0,1.0,7.3,0.0,5.0
2.0,0.0,0.0,1702216800,4.0,3.0,0.0,0.0545,0.0,0.0,23.0,1.0,6.6,0.0,5.0
0.0,0.0,1.0,1702747800,1.0,0.0,0.0,0.2663,0.0,0.0,8.0,1.0,6.1,0.0,1.0
0.0,0.0,0.0,1703343600,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,6.5,0.0,0.0
5.0,0.0,0.0,1703708100,3.0,4.0,0.0,0.0871,0.0,0.0,65.0,0.0,6.7,2.0,7.0
4.0,0.0,0.0,1703948400,4.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,6.2,0.0,5.0
0.0,0.0,0.0,1705240800,5.0,2.0,0.0,0.0,0.0,0.0,27.0,0.0,6.4,0.0,3.0
1.0,2.0,1.0,1706643900,1.0,2.0,0.0205384,0.5447,0.0,0.0,9.0,0.0,7.1,2.0,1.0
0.0,0.0,0.0,1706963400,2.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,6.5,0.0,0.0
1.0,0.0,0.0,1707568200,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,6.4,0.0,1.0
2.0,0.0,0.0,1708372800,3.0,1.0,0.0,0.022,0.0,0.0,18.0,0.0,6.5,1.0,4.0
4.0,0.0,0.0,1708786800,3.0,2.0,0.0,0.0958,0.0,0.0,22.0,1.0,6.9,1.0,6.0
11.0,0.0,2.0,1709391600,9.0,3.0,0.0521149,1.3966,0.0,1.0,74.0,4.0,6.8,1.0,15.0
14.0,0.0,0.0,1709987400,2.0,6.0,0.0907898,0.0706,0.0,0.0,61.0,0.0,7.2,0.0,15.0
1.0,0.0,0.0,1711810800,3.0,1.0,0.0,0.693,0.0,1.0,11.0,2.0,7.7,0.0,4.0
4.0,0.0,0.0,1712082600,15.0,9.0,0.0,0.0391,0.0,0.0,61.0,0.0,6.6,1.0,9.0
0.0,0.0,0.0,1712412000,2.0,3.0,0.0,0.0,0.0,0.0,13.0,0.0,6.5,0.0,1.0
2.0,0.0,1.0,1713207600,3.0,3.0,0.0,1.3093,0.0,0.0,90.0,2.0,6.7,3.0,5.0
6.0,0.0,0.0,1713702600,2.0,2.0,0.0,0.0,0.0,0.0,22.0,0.0,6.6,0.0,7.0
4.0,0.0,0.0,1714762800,5.0,0.0,0.0258693,0.0,0.0,0.0,10.0,0.0,6.2,0.0,4.0
0.0,0.0,0.0,1716130800,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
