accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
0.0,0.0,0.0,1691841600,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,6.5,0.0,1.0
3.0,0.0,0.0,1692384300,2.0,0.0,0.00565725,0.1185,0.0,1.0,16,1.0,7.3,0.0,5.0
4.0,0.0,0.0,1693058400,4.0,1.0,0.0298565,0.0,0.0,0.0,9,0.0,6.8,0.0,8.0
3.0,0.0,0.0,1693663200,1.0,0.0,0.0,0.0,0.0,0.0,25,0.0,6.5,0.0,5.0
0.0,0.0,0.0,1695062700,1.0,0.0,0.0,0.0,0.0,0.0,12,0.0,6.4,0.0,3.0
3.0,0.0,0.0,1695477600,1.0,0.0,0.0119833,0.0,0.0,0.0,15,0.0,6.6,0.0,3.0
1.0,0.0,1.0,1696165200,4.0,0.0,0.0,0.225,0.0,0.0,9,0.0,5.9,1.0,3.0
11.0,0.0,0.0,1696696200,7.0,4.0,0.00644238,0.0,0.0,0.0,76,0.0,6.6,0.0,15.0
16.0,0.0,1.0,1697896800,7.0,10.0,0.0316045,1.7493,0.0,2.0,90,4.0,8.8,2.0,26.0
2.0,0.0,0.0,1699797600,3.0,0.0,0.0320945,0.0,0.0,0.0,14,0.0,6.6,0.0,4.0
9.0,0.0,0.0,1700924400,5.0,3.0,0.0213394,0.1401,0.0,0.0,63,1.0,6.6,0.0,15.0
16.0,0.0,0.0,1701538200,6.0,3.0,0.021915,0.0,0.0,0.0,90,0.0,6.7,0.0,21.0
3.0,0.0,0.0,1701891000,2.0,1.0,0.0,0.1179,0.0,0.0,32,0.0,6.6,1.0,3.0
0.0,0.0,0.0,1702134000,2.0,2.0,0.0,0.0,0.0,0.0,11,0.0,6.6,0.0,3.0
0.0,0.0,0.0,1702670400,4.0,0.0,0.0,0.0,0.0,0.0,22,0.0,6.5,0.0,0.0
13.0,1.0,0.0,1703343600,5.0,14.0,0.191603,0.2902,1.0,1.0,90,2.0,8.9,1.0,29.0
13.0,0.0,0.0,1703593800,2.0,5.0,0.00984979,2.2292,0.0,3.0,90,3.0,9.5,0.0,20.0
11.0,0.0,0.0,1703957400,3.0,7.0,0.0,0.0419,0.0,0.0,90,0.0,6.8,1.0,18.0
25.0,0.0,0.0,1705771800,9.0,1.0,0.0886835,0.4354,0.0,1.0,90,1.0,7.4,0.0,30.0
7.0,0.0,0.0,1706643000,4.0,2.0,0.0,0.0248,0.0,0.0,45,0.0,6.4,0.0,11.0
10.0,0.0,0.0,1710079200,3.0,5.0,0.0,0.1775,0.0,0.0,90,1.0,6.8,0.0,17.0
9.0,1.0,0.0,1710601200,8.0,3.0,0.504472,0.4937,0.0,1.0,75,1.0,7.3,0.0,13.0
10.0,0.0,0.0,1711810800,9.0,4.0,0.0138317,0.64,0.0,1.0,90,2.0,7.3,1.0,14.0
19.0,1.0,0.0,1712082600,10.0,6.0,0.0139041,0.0257,0.0,1.0,90,1.0,7.3,0.0,29.0
10.0,0.0,2.0,1712509200,7.0,0.0,0.0,1.1056,0.0,1.0,68,2.0,6.5,1.0,13.0
13.0,0.0,0.0,1713016800,8.0,6.0,0.0148981,0.0,0.0,0.0,90,0.0,6.6,0.0,17.0
17.0,0.0,1.0,1713702600,9.0,6.0,0.0311924,0.4531,0.0,0.0,90,1.0,6.6,0.0,20.0
14.0,0.0,2.0,1714318200,5.0,3.0,0.0251956,0.9373,0.0,0.0,90,0.0,6.0,2.0,20.0
18.0,0.0,2.0,1714831200,10.0,6.0,0.0246821,0.6078,0.0,0.0,89,1.0,6.3,2.0,28.0
9.0,0.0,3.0,1715445000,7.0,2.0,0.0,0.8542,0.0,0.0,90,2.0,5.7,2.0,15.0
9.0,0.0,0.0,1716130800,6.0,4.0,0.0,1.256,0.0,2.0,79,3.0,8.6,1.0,22.0
