accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
1.0,0.0,0.0,1691848800,3.0,1.0,0.0,0.1237,0.0,0.0,12.0,0.0,6.6,0.0,3.0
2.0,0.0,0.0,1693067400,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,6.7,0.0,3.0
4.0,0.0,0.0,1693594800,2.0,0.0,0.00942078,0.0,0.0,0.0,10.0,0.0,6.4,0.0,4.0
2.0,0.0,0.0,1694872800,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,6.5,0.0,2.0
0.0,0.0,0.0,1695560400,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,6.5,0.0,2.0
2.0,0.0,0.0,1697988600,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,6.4,0.0,2.0
0.0,0.0,0.0,1698584400,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,6.5,0.0,1.0
0.0,0.0,0.0,1699110000,2.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,6.5,0.0,2.0
8.0,0.0,0.0,1700924400,2.0,2.0,0.0,0.0,0.0,0.0,62.0,0.0,6.5,0.0,11.0
3.0,0.0,0.0,1702821600,1.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,6.7,0.0,3.0
16.0,0.0,1.0,1705845600,8.0,8.0,0.0465515,0.8213,0.0,0.0,89.0,2.0,7.4,0.0,24.0
4.0,0.0,0.0,1706815800,0.0,2.0,0.0187348,0.0,0.0,0.0,22.0,0.0,6.8,0.0,6.0
0.0,0.0,0.0,1708182000,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,1710079200,0.0,0.0,0.0,0.1966,0.0,1.0,8.0,1.0,7.8,1.0,3.0
1.0,0.0,0.0,1711801800,0.0,0.0,0.135216,0.0,0.0,0.0,8.0,0.0,6.6,0.0,1.0
19.0,0.0,0.0,1713099600,5.0,3.0,0.0243391,0.1484,0.0,0.0,90.0,1.0,7.0,2.0,23.0
4.0,0.0,0.0,1713708000,3.0,2.0,0.0,0.0,0.0,0.0,15.0,0.0,6.5,0.0,4.0
5.0,0.0,0.0,1714914000,4.0,0.0,0.0113419,0.0,0.0,0.0,20.0,0.0,6.2,0.0,5.0
3.0,0.0,0.0,1715436000,1.0,0.0,0.0132804,0.0,0.0,0.0,13.0,0.0,6.5,0.0,3.0
1.0,0.0,0.0,1716130800,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,6.6,0.0,2.0
