accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
12.0,0.0,0.0,1691848800,13,3.0,0.135793,0.9822,0.0,1.0,90,2.0,7.4,1.0,16
10.0,0.0,0.0,1692453600,9,3.0,0.00660225,0.1459,1.0,0.0,90,0.0,7.0,3.0,17
9.0,0.0,0.0,1693049400,4,2.0,0.041205,0.065,0.0,0.0,90,0.0,6.5,1.0,11
13.0,0.0,1.0,1693663200,10,1.0,0.0203288,0.6226,0.0,1.0,90,2.0,6.6,0.0,14
9.0,0.0,0.0,1694955600,7,5.0,0.0490603,0.4145,0.0,0.0,90,1.0,7.0,1.0,11
12.0,0.0,1.0,1695560400,9,3.0,0.0115184,0.5254,0.0,1.0,90,2.0,6.8,1.0,13
13.0,0.0,0.0,1696082400,8,4.0,0.135068,0.2067,0.0,0.0,90,0.0,6.6,2.0,16
7.0,0.0,0.0,1696687200,11,3.0,0.173675,0.0958,0.0,0.0,90,1.0,6.6,1.0,8
11.0,0.0,0.0,1697896800,17,4.0,0.0106946,0.4765,0.0,1.0,85,1.0,6.7,1.0,15
10.0,0.0,0.0,1698501600,6,6.0,0.0311815,0.1552,0.0,0.0,90,1.0,6.8,0.0,15
20.0,0.0,0.0,1699110000,1,3.0,0.00658586,0.5892,0.0,0.0,85,0.0,7.0,3.0,20
7.0,0.0,0.0,1699723800,11,6.0,0.129671,1.1395,0.0,2.0,90,2.0,8.9,1.0,10
10.0,0.0,1.0,1700924400,14,6.0,0.0271558,0.6481,0.0,0.0,90,0.0,6.2,3.0,19
9.0,0.0,2.0,1701612000,11,5.0,0.0366281,1.3053,0.0,1.0,90,3.0,6.7,1.0,10
8.0,0.0,0.0,1701891000,8,6.0,0.0283713,0.2344,0.0,0.0,88,1.0,6.8,0.0,12
9.0,0.0,1.0,1702134000,9,8.0,0.0323227,0.8722,0.0,1.0,90,1.0,7.5,3.0,13
9.0,0.0,0.0,1703343600,9,8.0,0.0240665,0.7281,0.0,3.0,90,3.0,9.3,2.0,13
15.0,0.0,0.0,1703602800,11,4.0,0.0456004,1.0074,0.0,1.0,90,1.0,6.9,0.0,18
7.0,0.0,1.0,1704031200,12,7.0,0.0,0.8455,0.0,0.0,90,2.0,6.7,3.0,9
9.0,0.0,0.0,1705854600,9,5.0,0.0,0.0591,0.0,0.0,83,0.0,6.6,0.0,11
10.0,1.0,0.0,1706815800,6,7.0,0.0654479,0.5322,0.0,1.0,90,1.0,7.8,0.0,14
7.0,0.0,0.0,1707055200,8,4.0,0.0223281,0.0,0.0,0.0,90,0.0,6.5,0.0,11
12.0,1.0,1.0,1707577200,9,8.0,0.251371,0.7221,1.0,0.0,90,0.0,7.0,2.0,19
13.0,0.0,2.0,1708182000,10,10.0,0.0138392,1.9411,1.0,1.0,90,3.0,7.5,0.0,19
10.0,0.0,0.0,1708795800,8,3.0,0.0651354,0.3072,0.0,0.0,90,1.0,6.8,1.0,13
4.0,0.0,0.0,1709470800,10,10.0,0.097467,0.1925,0.0,0.0,89,1.0,6.9,0.0,11
13.0,0.0,1.0,1709996400,9,9.0,0.070516,0.8609,0.0,0.0,90,1.0,7.0,1.0,18
17.0,0.0,0.0,1710358200,9,8.0,0.0405352,0.4383,0.0,1.0,89,1.0,7.7,2.0,19
8.0,0.0,0.0,1711810800,13,8.0,0.0293478,0.6218,0.0,1.0,85,1.0,7.2,0.0,11
8.0,0.0,0.0,1712083500,6,5.0,0.0174032,0.1025,0.0,0.0,89,0.0,6.9,1.0,12
15.0,0.0,1.0,1712412000,9,4.0,0.043837,0.1375,0.0,0.0,90,0.0,6.5,1.0,19
17.0,0.0,0.0,1713025800,10,8.0,0.104195,0.2757,0.0,1.0,90,1.0,7.8,1.0,23
12.0,0.0,0.0,1713708000,5,4.0,0.0,0.8484,0.0,1.0,90,1.0,6.9,0.0,16
12.0,0.0,0.0,1713984300,6,3.0,0.110953,0.1427,0.0,0.0,87,1.0,7.1,0.0,17
7.0,1.0,0.0,1714309200,5,6.0,0.0989065,0.3392,0.0,0.0,90,1.0,7.5,0.0,10
11.0,0.0,1.0,1714822200,10,8.0,0.0131127,0.2242,0.0,0.0,90,1.0,6.1,0.0,17
8.0,0.0,0.0,1715436000,8,7.0,0.0374035,0.3479,0.0,1.0,90,1.0,7.5,2.0,12
0.0,0.0,1.0,1716130800,3,0.0,0.0,0.4815,0.0,0.0,31,0.0,6.3,2.0,1
