accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
9.0,0.0,0.0,1691780400,5.0,3.0,0.0531223,0.5692,0.0,2.0,80.0,2.0,8.7,1.0,11.0
6.0,0.0,0.0,1692471600,6.0,0.0,0.0155269,0.4194,0.0,0.0,90.0,2.0,7.0,2.0,11.0
6.0,0.0,3.0,1693141200,0.0,4.0,0.0142061,2.0662,0.0,1.0,90.0,3.0,7.1,4.0,11.0
4.0,1.0,0.0,1693663200,3.0,0.0,0.0975112,1.5768,1.0,3.0,90.0,3.0,9.6,1.0,6.0
9.0,0.0,5.0,1694872800,0.0,1.0,0.0313962,2.5583,0.0,1.0,89.0,6.0,6.1,1.0,13.0
9.0,0.0,1.0,1695477600,4.0,5.0,0.0097401,0.6852,0.0,1.0,90.0,1.0,7.2,1.0,14.0
10.0,0.0,0.0,1696082400,3.0,1.0,0.0534818,0.0612,0.0,0.0,90.0,1.0,6.8,0.0,12.0
11.0,1.0,0.0,1696779000,4.0,3.0,0.166768,0.0,0.0,0.0,90.0,0.0,7.0,0.0,16.0
11.0,0.0,0.0,1697896800,3.0,3.0,0.0,0.2613,0.0,1.0,90.0,2.0,7.5,0.0,11.0
7.0,1.0,2.0,1698593400,3.0,3.0,0.47301,2.0182,1.0,2.0,90.0,4.0,8.4,0.0,10.0
7.0,0.0,0.0,1699110000,0.0,5.0,0.0164454,0.4186,0.0,0.0,45.0,0.0,7.0,0.0,9.0
10.0,0.0,2.0,1699806600,2.0,3.0,0.0322831,2.0308,1.0,2.0,90.0,3.0,8.5,1.0,11.0
7.0,0.0,1.0,1700915400,2.0,6.0,0.0101869,0.7319,0.0,1.0,90.0,2.0,7.7,3.0,9.0
12.0,1.0,1.0,1701621000,6.0,5.0,0.218751,0.7461,1.0,0.0,90.0,0.0,7.6,4.0,15.0
7.0,0.0,2.0,1701893700,3.0,2.0,0.0,0.6483,0.0,0.0,90.0,2.0,6.2,0.0,9.0
3.0,0.0,0.0,1706729400,1.0,1.0,0.00975953,0.2252,0.0,0.0,19.0,0.0,6.8,1.0,4.0
12.0,1.0,1.0,1707163200,3.0,1.0,0.0623268,0.6551,1.0,0.0,86.0,1.0,7.1,0.0,17.0
12.0,0.0,0.0,1707568200,4.0,4.0,0.105847,0.6785,0.0,2.0,90.0,2.0,8.7,1.0,12.0
9.0,0.0,3.0,1708191000,3.0,5.0,0.0197039,1.5846,0.0,0.0,90.0,2.0,6.4,5.0,12.0
15.0,0.0,0.0,1708457400,3.0,2.0,0.212627,0.8583,0.0,1.0,90.0,4.0,8.2,2.0,16.0
16.0,0.0,3.0,1708795800,3.0,2.0,0.0244518,0.4346,0.0,0.0,75.0,2.0,5.7,1.0,21.0
5.0,0.0,2.0,1709479800,5.0,1.0,0.0634507,1.619,0.0,1.0,90.0,1.0,6.5,3.0,7.0
12.0,0.0,0.0,1710085500,3.0,2.0,0.0132821,0.1018,0.0,0.0,90.0,1.0,7.0,0.0,15.0
7.0,0.0,1.0,1711899000,6.0,8.0,0.0184138,0.314,0.0,0.0,90.0,0.0,6.7,2.0,11.0
13.0,1.0,1.0,1712403000,5.0,2.0,0.173922,0.5981,0.0,1.0,90.0,2.0,7.2,0.0,16.0
12.0,0.0,2.0,1713016800,1.0,0.0,0.147762,1.8332,0.0,1.0,81.0,2.0,7.1,2.0,15.0
11.0,0.0,0.0,1714318200,2.0,2.0,0.035919,0.4247,0.0,1.0,28.0,2.0,7.3,0.0,12.0
10.0,0.0,2.0,1714840200,4.0,5.0,0.0549091,2.1111,0.0,4.0,82.0,7.0,9.8,0.0,15.0
8.0,0.0,1.0,1715427000,2.0,4.0,0.0488264,0.6151,0.0,0.0,82.0,0.0,6.7,2.0,10.0
12.0,0.0,0.0,1715713200,4.0,2.0,0.0166731,1.7203,0.0,2.0,89.0,2.0,8.2,0.0,14.0
13.0,0.0,1.0,1716130800,3.0,3.0,0.0121643,0.7555,0.0,0.0,90.0,0.0,6.5,2.0,16.0
