accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
28.0,0.0,0.0,1691841600,13,6.0,0.220037,0.0,1.0,0.0,86,0.0,7.1,0.0,30
23.0,0.0,0.0,1692644400,6,3.0,0.0421207,0.1054,0.0,0.0,70,0.0,7.1,1.0,29
42.0,0.0,0.0,1693058400,1,1.0,0.107785,0.4641,0.0,0.0,90,3.0,7.7,0.0,48
27.0,0.0,0.0,1693755000,7,6.0,0.16723,0.1152,1.0,0.0,89,0.0,7.5,1.0,31
6.0,0.0,0.0,1694964600,1,0.0,0.0132401,0.0,0.0,0.0,24,0.0,6.4,0.0,9
6.0,0.0,0.0,1696779000,4,3.0,0.0148894,0.0688,0.0,1.0,45,2.0,7.6,0.0,7
31.0,0.0,0.0,1697905800,5,2.0,0.173882,0.0402,0.0,0.0,78,0.0,6.9,0.0,33
35.0,0.0,0.0,1698501600,3,7.0,0.381533,0.0799,0.0,0.0,66,1.0,7.8,0.0,36
42.0,0.0,0.0,1699119000,8,6.0,0.215201,0.1386,0.0,0.0,90,1.0,7.7,1.0,48
37.0,0.0,0.0,1699714800,10,7.0,0.208707,0.124,0.0,0.0,89,1.0,7.0,0.0,42
23.0,0.0,0.0,1700933400,5,3.0,0.0560666,0.0667,0.0,0.0,79,0.0,7.0,1.0,28
27.0,0.0,0.0,1701529200,4,1.0,0.0463058,0.1305,0.0,0.0,78,0.0,7.0,1.0,29
12.0,0.0,0.0,1701807300,6,3.0,0.0393098,0.2314,0.0,1.0,64,2.0,7.2,0.0,17
19.0,1.0,1.0,1702143000,7,1.0,0.125326,0.2213,0.0,0.0,70,1.0,6.2,0.0,26
34.0,1.0,1.0,1702821600,6,7.0,0.72156,0.2029,0.0,0.0,82,0.0,8.0,1.0,38
11.0,0.0,0.0,1703352600,7,3.0,0.0258006,0.1373,0.0,0.0,68,0.0,6.5,1.0,14
22.0,0.0,0.0,1703794500,4,3.0,0.285435,0.0848,0.0,0.0,64,0.0,7.2,1.0,29
20.0,0.0,0.0,1704031200,1,3.0,0.0246901,0.3082,0.0,0.0,67,1.0,7.1,2.0,28
12.0,0.0,0.0,1705753800,1,3.0,0.0334111,0.7389,0.0,2.0,21,2.0,8.9,0.0,14
36.0,0.0,0.0,1706643000,8,3.0,0.0357194,0.0275,0.0,0.0,78,0.0,6.8,0.0,40
16.0,1.0,0.0,1707064200,2,4.0,0.187427,0.8304,0.0,1.0,74,1.0,7.8,0.0,19
25.0,0.0,0.0,1707660000,5,5.0,0.243261,0.1334,0.0,0.0,77,0.0,7.2,1.0,27
22.0,0.0,0.0,1708182000,12,5.0,0.173461,0.0215,0.0,0.0,90,0.0,6.6,0.0,28
30.0,2.0,1.0,1708804800,4,1.0,0.797361,0.576,1.0,0.0,64,0.0,7.4,3.0,34
31.0,0.0,0.0,1709582400,10,4.0,0.149164,0.7106,1.0,1.0,64,2.0,8.1,1.0,36
2.0,0.0,0.0,1711899000,1,0.0,0.0,0.0978,0.0,0.0,12,0.0,6.4,0.0,2
2.0,0.0,0.0,1712169000,3,0.0,0.0,0.0,0.0,0.0,15,0.0,6.3,0.0,4
4.0,0.0,0.0,1712421000,2,4.0,0.242753,0.0,0.0,0.0,26,0.0,7.0,0.0,5
2.0,0.0,0.0,1713108600,3,2.0,0.00615191,0.0,0.0,0.0,23,0.0,6.6,0.0,3
6.0,0.0,1.0,1713637800,1,3.0,0.0,0.1755,0.0,0.0,18,2.0,6.7,0.0,7
8.0,0.0,1.0,1713898800,3,0.0,0.0133243,0.623,0.0,0.0,18,1.0,6.3,1.0,8
0.0,0.0,0.0,1714309200,3,4.0,0.0,0.0115,0.0,0.0,27,0.0,6.7,0.0,3
5.0,0.0,0.0,1714822200,2,1.0,0.0,0.0,0.0,0.0,9,0.0,6.5,0.0,5
2.0,0.0,0.0,1715527800,7,3.0,0.0,0.1847,0.0,0.0,24,1.0,6.4,0.0,3
38.0,2.0,0.0,1716130800,4,2.0,0.463217,0.1961,0.0,0.0,90,1.0,8.0,1.0,47
