accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
30,0.0,0.0,1691931600,5.0,3.0,0.0463333,0.1005,0.0,0.0,75,1.0,6.7,1.0,34
30,1.0,0.0,1692462600,2.0,6.0,0.37968,0.1291,0.0,0.0,90,0.0,7.9,0.0,38
33,1.0,0.0,1693049400,2.0,4.0,0.288253,0.0472,0.0,0.0,90,0.0,8.0,2.0,39
14,0.0,0.0,1693663200,2.0,0.0,0.0674035,1.1174,0.0,3.0,72,3.0,9.2,0.0,17
16,0.0,0.0,1694872800,3.0,2.0,0.0159938,0.1605,0.0,0.0,80,1.0,6.8,1.0,18
13,1.0,0.0,1695560400,3.0,1.0,0.351407,0.512,0.0,2.0,79,2.0,8.6,0.0,14
13,0.0,1.0,1696091400,2.0,0.0,0.124029,0.871,0.0,1.0,69,3.0,7.1,0.0,16
18,1.0,0.0,1696678200,2.0,3.0,0.448076,0.2374,0.0,0.0,76,1.0,7.3,1.0,20
20,1.0,0.0,1698087600,5.0,4.0,0.171794,0.2919,1.0,1.0,82,2.0,8.9,1.0,24
17,0.0,0.0,1698433200,3.0,1.0,0.0284425,0.8237,0.0,1.0,90,1.0,7.3,0.0,20
12,0.0,0.0,1699300800,3.0,1.0,0.00886119,0.2004,0.0,0.0,90,2.0,6.7,0.0,14
20,0.0,0.0,1699705800,4.0,4.0,0.0523018,0.1153,0.0,0.0,90,0.0,6.5,0.0,25
22,2.0,0.0,1701007200,3.0,1.0,0.545423,0.1337,0.0,0.0,90,1.0,7.7,1.0,25
17,0.0,0.0,1701621000,0.0,4.0,0.02586,0.1337,1.0,1.0,90,1.0,8.0,0.0,20
33,0.0,0.0,1701980100,1.0,3.0,0.69259,0.099,0.0,0.0,88,1.0,7.8,0.0,42
25,2.0,1.0,1702225800,6.0,7.0,0.344968,1.0692,2.0,1.0,89,2.0,9.5,2.0,31
30,0.0,1.0,1702670400,10.0,6.0,0.16876,0.3059,0.0,0.0,88,2.0,6.8,0.0,36
24,0.0,0.0,1703343600,8.0,5.0,0.0294838,0.2366,0.0,1.0,90,1.0,7.2,1.0,34
26,1.0,0.0,1703791800,4.0,3.0,0.145773,0.3954,1.0,0.0,90,0.0,7.3,3.0,32
34,1.0,0.0,1704031200,5.0,3.0,0.598161,0.1401,0.0,1.0,90,2.0,8.1,0.0,35
11,1.0,0.0,1707577200,2.0,0.0,0.438048,0.0,1.0,0.0,28,0.0,7.1,0.0,12
39,0.0,0.0,1708182000,3.0,1.0,0.118776,0.0,0.0,0.0,90,0.0,6.7,0.0,48
17,2.0,0.0,1709391600,2.0,1.0,0.283768,0.5409,0.0,1.0,89,1.0,7.9,3.0,23
37,2.0,0.0,1710075600,4.0,3.0,0.327005,0.2439,2.0,1.0,90,2.0,9.1,0.0,43
29,1.0,0.0,1710610200,6.0,4.0,0.563709,0.1406,0.0,0.0,87,0.0,7.1,2.0,32
23,0.0,1.0,1711810800,2.0,5.0,0.281559,1.0165,0.0,1.0,88,2.0,7.9,1.0,27
32,0.0,0.0,1712085300,2.0,1.0,0.156562,0.0932,0.0,0.0,90,1.0,7.3,1.0,37
32,0.0,0.0,1712509200,0.0,0.0,0.223288,0.1627,1.0,0.0,90,1.0,7.3,0.0,39
16,0.0,0.0,1713007800,2.0,4.0,0.0243347,0.0,0.0,0.0,58,0.0,6.8,0.0,19
22,0.0,1.0,1714309200,2.0,1.0,0.0559018,1.0618,0.0,1.0,90,1.0,6.9,1.0,23
24,0.0,0.0,1714674600,3.0,5.0,0.126872,0.0,0.0,0.0,90,0.0,7.2,0.0,30
39,0.0,0.0,1714923000,12.0,7.0,0.055194,0.3444,0.0,1.0,90,1.0,7.3,0.0,45
39,1.0,0.0,1715436000,5.0,3.0,0.673849,0.1765,0.0,0.0,90,1.0,7.5,1.0,44
25,0.0,2.0,1715713200,6.0,3.0,0.0162214,1.021,0.0,0.0,90,2.0,5.9,1.0,27
40,2.0,0.0,1716130800,2.0,5.0,0.465806,0.0923,1.0,0.0,88,2.0,8.9,0.0,42
