accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
1.0,0.0,1.0,1693141200,0.0,0.0,0.0,0.4517,0.0,0.0,9.0,0.0,6.2,2.0,2.0
0.0,0.0,0.0,1695495600,2.0,0.0,0.0,0.0769,0.0,0.0,17.0,0.0,6.7,0.0,1.0
2.0,0.0,0.0,1696082400,2.0,1.0,0.0,0.0,0.0,0.0,32.0,0.0,6.4,0.0,3.0
5.0,0.0,0.0,1696357800,1.0,1.0,0.0,0.037,0.0,0.0,10.0,0.0,6.7,1.0,6.0
12.0,0.0,0.0,1698501600,5.0,1.0,0.0,0.0,0.0,0.0,45.0,0.0,6.4,0.0,17.0
11.0,0.0,1.0,1699110000,4.0,4.0,0.0251626,0.3875,0.0,0.0,90.0,1.0,6.8,2.0,21.0
9.0,0.0,0.0,1699714800,10.0,4.0,0.0,0.0715,0.0,0.0,90.0,2.0,6.8,0.0,16.0
18.0,0.0,0.0,1700924400,10.0,8.0,0.00660607,0.7884,0.0,1.0,90.0,1.0,7.2,0.0,22.0
20.0,0.0,0.0,1701529200,5.0,3.0,0.0198857,0.2193,0.0,1.0,76.0,1.0,7.5,1.0,28.0
9.0,0.0,1.0,1701804600,6.0,4.0,0.0,0.4272,0.0,0.0,90.0,1.0,6.4,0.0,18.0
18.0,0.0,1.0,1702134000,5.0,3.0,0.0111466,0.3423,1.0,0.0,78.0,1.0,6.7,0.0,24.0
4.0,0.0,0.0,1702747800,4.0,6.0,0.0,0.2064,0.0,0.0,45.0,0.0,6.7,0.0,9.0
3.0,0.0,0.0,1703343600,4.0,2.0,0.0,0.0,0.0,0.0,25.0,0.0,6.7,0.0,4.0
5.0,0.0,0.0,1708182000,1.0,1.0,0.0,0.0,0.0,0.0,27.0,0.0,6.4,0.0,12.0
0.0,0.0,0.0,1708786800,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,6.6,0.0,0.0
2.0,0.0,0.0,1709470800,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
9.0,0.0,2.0,1711810800,2.0,5.0,0.0,0.4177,0.0,0.0,21.0,0.0,6.1,2.0,10.0
3.0,0.0,0.0,1712083500,2.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,6.5,0.0,5.0
1.0,0.0,0.0,1712412000,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,6.6,0.0,2.0
4.0,0.0,0.0,1713016800,6.0,2.0,0.0,0.067,0.0,0.0,28.0,1.0,6.6,0.0,5.0
6.0,0.0,0.0,1716130800,0.0,0.0,0.0129946,0.0,0.0,0.0,15.0,0.0,6.6,0.0,8.0
