accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
33.0,1.0,0.0,1691848800,11.0,5.0,0.451391,0.0912,1.0,0.0,90.0,1.0,7.2,0.0,41.0
17.0,0.0,0.0,1692644400,8.0,9.0,0.0318898,0.1443,0.0,0.0,90.0,0.0,7.0,1.0,20.0
29.0,0.0,1.0,1693058400,10.0,12.0,0.0393489,0.205,1.0,0.0,90.0,1.0,7.3,2.0,32.0
23.0,0.0,1.0,1693746000,14.0,14.0,0.0608774,0.4734,0.0,0.0,90.0,2.0,6.7,0.0,32.0
2.0,0.0,0.0,1694872800,3.0,2.0,0.0,0.0,0.0,0.0,25.0,0.0,6.5,0.0,2.0
30.0,0.0,0.0,1695477600,11.0,10.0,0.0102475,0.0,0.0,0.0,90.0,0.0,6.8,0.0,41.0
13.0,0.0,0.0,1696082400,10.0,18.0,0.00659157,0.0,0.0,0.0,90.0,0.0,7.3,0.0,24.0
31.0,0.0,1.0,1696696200,6.0,5.0,0.0179903,0.4097,0.0,0.0,90.0,1.0,6.7,2.0,36.0
35.0,0.0,0.0,1697896800,7.0,8.0,0.0112331,0.1601,0.0,0.0,90.0,0.0,7.2,2.0,39.0
11.0,0.0,0.0,1698433200,13.0,9.0,0.0257685,0.0987,0.0,1.0,90.0,2.0,7.0,0.0,13.0
18.0,1.0,0.0,1699110000,6.0,11.0,0.577583,0.0785,1.0,0.0,90.0,0.0,7.0,0.0,24.0
38.0,0.0,0.0,1699714800,6.0,7.0,0.0322714,0.0,0.0,0.0,90.0,0.0,6.5,0.0,43.0
15.0,0.0,0.0,1700924400,6.0,5.0,0.0494145,0.0,0.0,0.0,41.0,0.0,6.6,0.0,17.0
14.0,0.0,0.0,1701612000,18.0,13.0,0.0599186,0.0173,0.0,0.0,90.0,0.0,6.7,1.0,25.0
29.0,0.0,1.0,1701891000,8.0,8.0,0.0714116,0.1926,0.0,0.0,90.0,3.0,7.0,0.0,34.0
5.0,1.0,0.0,1702125000,6.0,8.0,0.0559769,0.0,0.0,0.0,75.0,0.0,6.6,0.0,8.0
19.0,0.0,0.0,1703188800,8.0,5.0,0.0372616,0.7384,0.0,1.0,70.0,2.0,7.6,0.0,23.0
16.0,1.0,0.0,1703705400,6.0,6.0,0.106307,0.0,1.0,0.0,79.0,0.0,7.3,0.0,22.0
19.0,1.0,0.0,1703948400,7.0,7.0,0.193137,0.0383,1.0,0.0,89.0,0.0,7.6,1.0,21.0
30.0,0.0,0.0,1706644800,11.0,9.0,0.170614,0.0557,0.0,0.0,90.0,0.0,7.1,2.0,34.0
22.0,0.0,0.0,1706972400,4.0,4.0,0.0093563,0.0186,0.0,0.0,90.0,1.0,6.8,0.0,26.0
12.0,0.0,0.0,1707768000,7.0,8.0,0.00889909,0.0633,0.0,0.0,90.0,1.0,6.6,0.0,17.0
22.0,0.0,0.0,1708372800,20.0,5.0,0.0369041,0.0478,0.0,1.0,90.0,1.0,6.7,0.0,28.0
26.0,1.0,0.0,1708786800,5.0,11.0,0.394132,0.5158,1.0,1.0,89.0,1.0,9.5,0.0,37.0
7.0,0.0,0.0,1709391600,4.0,5.0,0.0574759,0.0799,0.0,0.0,71.0,0.0,6.8,1.0,10.0
11.0,0.0,0.0,1709996400,9.0,5.0,0.00880977,0.1803,0.0,0.0,70.0,1.0,6.8,0.0,14.0
16.0,0.0,0.0,1711810800,5.0,6.0,0.00862363,0.0361,0.0,0.0,66.0,0.0,6.8,1.0,18.0
17.0,0.0,0.0,1712083500,4.0,5.0,0.0108949,0.0326,0.0,0.0,70.0,1.0,6.9,0.0,19.0
11.0,0.0,0.0,1712403000,1.0,2.0,0.00872946,0.1382,0.0,0.0,74.0,0.0,6.9,2.0,13.0
3.0,0.0,0.0,1713099600,5.0,3.0,0.0,0.0,0.0,0.0,22.0,0.0,6.4,0.0,5.0
15.0,0.0,0.0,1713708000,4.0,4.0,0.00673255,0.0,0.0,0.0,22.0,0.0,6.9,0.0,20.0
32.0,1.0,0.0,1713985200,10.0,7.0,0.0801349,0.0349,1.0,0.0,73.0,1.0,7.5,1.0,37.0
25.0,0.0,0.0,1714226400,6.0,8.0,0.00670572,0.0,0.0,0.0,76.0,0.0,7.1,0.0,28.0
3.0,0.0,0.0,1715022000,1.0,0.0,0.0216644,0.0468,0.0,0.0,11.0,1.0,6.7,0.0,3.0
5.0,0.0,0.0,1716130800,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0
