accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
33.0,0.0,0.0,1691780400,6.0,3.0,0.374125,0.3462,1.0,0.0,90.0,1.0,8.1,1.0,38.0
23.0,0.0,0.0,1692471600,5.0,4.0,0.0225122,0.1071,0.0,1.0,90.0,1.0,7.5,0.0,27.0
32.0,0.0,1.0,1693141200,3.0,0.0,0.181048,0.7103,0.0,0.0,90.0,3.0,7.5,4.0,39.0
28.0,0.0,0.0,1693663200,6.0,3.0,0.020661,0.6538,0.0,1.0,89.0,1.0,8.0,0.0,35.0
49.0,1.0,0.0,1694872800,3.0,0.0,0.434482,0.0555,2.0,0.0,90.0,0.0,8.5,1.0,53.0
18.0,0.0,0.0,1695477600,2.0,1.0,0.0178401,0.5457,0.0,0.0,57.0,2.0,6.9,0.0,21.0
27.0,0.0,0.0,1696082400,3.0,4.0,0.0816521,0.0981,0.0,1.0,90.0,2.0,7.9,0.0,30.0
11.0,0.0,0.0,1696779000,3.0,0.0,0.0353731,0.1004,0.0,0.0,68.0,0.0,6.6,1.0,16.0
43.0,0.0,0.0,1697896800,7.0,4.0,0.0345156,0.3217,0.0,1.0,89.0,2.0,7.4,1.0,47.0
36.0,0.0,0.0,1698593400,2.0,1.0,0.148361,0.1199,0.0,0.0,87.0,1.0,7.3,1.0,41.0
44.0,0.0,0.0,1699110000,0.0,0.0,0.951974,0.0643,0.0,0.0,71.0,0.0,7.5,1.0,49.0
31.0,1.0,0.0,1699806600,3.0,1.0,0.0919715,0.1542,1.0,0.0,79.0,1.0,7.2,0.0,35.0
29.0,0.0,0.0,1700915400,3.0,4.0,0.260182,0.2269,0.0,0.0,90.0,0.0,7.3,1.0,33.0
26.0,1.0,0.0,1701621000,2.0,1.0,1.02836,0.0402,1.0,0.0,87.0,0.0,8.1,1.0,34.0
20.0,0.0,0.0,1701893700,6.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,6.1,0.0,26.0
22.0,1.0,1.0,1702216800,5.0,5.0,0.296306,0.4637,1.0,0.0,90.0,0.0,7.1,2.0,29.0
27.0,0.0,1.0,1702738800,6.0,1.0,0.118543,0.1101,0.0,0.0,90.0,1.0,6.5,0.0,28.0
28.0,1.0,1.0,1703708100,5.0,5.0,0.500572,1.1957,0.0,1.0,90.0,4.0,8.1,1.0,30.0
40.0,0.0,0.0,1703948400,1.0,2.0,0.0590518,1.191,0.0,1.0,90.0,1.0,8.0,3.0,41.0
34.0,0.0,1.0,1705167000,2.0,1.0,0.186738,0.701,0.0,0.0,90.0,3.0,7.6,1.0,35.0
12.0,0.0,0.0,1706729400,1.0,0.0,0.011312,0.9382,0.0,2.0,87.0,2.0,8.3,0.0,15.0
46.0,0.0,0.0,1707163200,8.0,1.0,0.0462785,0.2995,0.0,0.0,90.0,5.0,7.2,0.0,51.0
22.0,0.0,0.0,1707568200,7.0,4.0,0.221855,0.0542,0.0,0.0,77.0,0.0,7.0,1.0,26.0
40.0,1.0,0.0,1708191000,5.0,1.0,0.167819,0.3022,0.0,0.0,64.0,0.0,7.4,2.0,42.0
42.0,1.0,0.0,1708457400,6.0,2.0,0.125394,0.1571,1.0,0.0,89.0,0.0,7.7,3.0,44.0
8.0,0.0,0.0,1708795800,2.0,0.0,0.0225264,0.0,0.0,0.0,15.0,0.0,6.4,0.0,8.0
15.0,0.0,0.0,1709479800,2.0,0.0,0.089358,0.0,1.0,0.0,31.0,0.0,6.9,0.0,15.0
15.0,0.0,0.0,1710085500,5.0,3.0,0.0375661,0.0848,0.0,0.0,69.0,1.0,6.6,1.0,27.0
22.0,0.0,2.0,1712171700,3.0,3.0,0.105406,1.3937,0.0,0.0,90.0,3.0,6.8,2.0,23.0
29.0,0.0,2.0,1712403000,2.0,0.0,0.0427708,0.4174,0.0,0.0,74.0,1.0,6.2,1.0,31.0
51.0,0.0,1.0,1713016800,4.0,4.0,0.479159,0.5735,1.0,0.0,90.0,1.0,7.9,2.0,61.0
25.0,0.0,0.0,1714071600,1.0,1.0,0.0476035,0.4163,0.0,1.0,90.0,2.0,8.0,3.0,28.0
35.0,0.0,0.0,1714318200,5.0,1.0,0.0366345,0.1261,0.0,0.0,89.0,0.0,6.8,1.0,39.0
5.0,0.0,0.0,1714840200,0.0,0.0,0.0,0.3669,0.0,1.0,8.0,1.0,7.5,0.0,5.0
5.0,0.0,0.0,1715427000,3.0,1.0,0.00738904,0.7884,0.0,1.0,8.0,1.0,7.6,0.0,5.0
3.0,0.0,0.0,1715713200,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
