accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
47,0.0,0.0,1691841600,8,8.0,0.237934,0.052,0.0,0.0,90,0.0,7.2,0.0,53
25,0.0,0.0,1692644400,7,8.0,0.0465888,0.0231,0.0,0.0,90,0.0,6.9,1.0,28
20,0.0,1.0,1693058400,1,3.0,0.400203,0.2763,0.0,0.0,56,0.0,7.0,1.0,22
22,0.0,0.0,1693755000,4,2.0,0.035574,0.3511,0.0,0.0,77,0.0,7.1,2.0,25
5,0.0,0.0,1694964600,2,1.0,0.0,0.0,0.0,0.0,10,0.0,6.7,0.0,6
11,0.0,0.0,1695560400,4,6.0,0.00593158,0.0598,0.0,0.0,45,0.0,6.7,1.0,13
19,0.0,0.0,1696082400,5,5.0,0.020854,0.8404,0.0,1.0,81,1.0,7.2,0.0,24
7,0.0,0.0,1696779000,3,0.0,0.0327453,0.0,1.0,0.0,15,0.0,6.8,0.0,8
7,0.0,0.0,1697905800,2,3.0,0.00633602,0.0,0.0,0.0,12,0.0,6.6,0.0,13
32,0.0,1.0,1698501600,4,5.0,0.0406698,0.1639,0.0,0.0,90,0.0,6.7,1.0,35
23,0.0,0.0,1699119000,8,8.0,0.0631681,0.0795,0.0,0.0,90,0.0,7.0,0.0,33
17,0.0,1.0,1699714800,6,4.0,0.0508316,0.3256,0.0,0.0,59,0.0,7.0,2.0,22
5,0.0,0.0,1700933400,2,2.0,0.0,0.3408,0.0,1.0,11,1.0,7.4,0.0,7
4,0.0,0.0,1701529200,1,1.0,0.0,0.0,0.0,0.0,12,0.0,6.5,0.0,5
20,0.0,0.0,1701807300,10,10.0,0.0636009,0.8153,0.0,1.0,90,1.0,7.6,3.0,32
15,1.0,0.0,1702143000,10,9.0,0.26526,0.0179,0.0,0.0,90,0.0,7.1,0.0,19
28,0.0,1.0,1702821600,5,2.0,0.0449336,0.7534,0.0,1.0,89,1.0,7.5,2.0,30
24,0.0,0.0,1703352600,9,5.0,0.0192212,0.0246,0.0,0.0,90,0.0,6.6,1.0,28
26,0.0,0.0,1704031200,3,2.0,0.00964214,0.0,0.0,0.0,77,0.0,6.5,0.0,30
25,0.0,0.0,1705753800,5,4.0,0.117328,0.0,0.0,0.0,69,0.0,6.7,0.0,27
14,0.0,0.0,1706643000,2,1.0,0.0,0.0,0.0,0.0,19,0.0,6.5,0.0,17
17,0.0,2.0,1707064200,18,6.0,0.03878,1.0488,0.0,0.0,90,2.0,6.2,1.0,20
42,0.0,0.0,1707660000,4,8.0,0.191903,0.0806,0.0,0.0,90,1.0,7.5,1.0,46
22,0.0,0.0,1708182000,6,12.0,0.0533688,0.6365,0.0,1.0,84,1.0,7.8,0.0,30
20,0.0,1.0,1708804800,6,4.0,0.063035,1.2833,1.0,1.0,76,1.0,7.8,1.0,23
41,0.0,1.0,1709582400,5,2.0,0.157659,0.1729,1.0,1.0,90,2.0,8.6,0.0,44
26,0.0,0.0,1710005400,2,3.0,0.0661976,0.4598,0.0,1.0,90,2.0,7.6,1.0,31
6,0.0,0.0,1711899000,13,8.0,0.00736606,0.3287,0.0,0.0,90,1.0,6.7,0.0,13
17,1.0,0.0,1712169000,6,4.0,0.122192,0.0656,1.0,0.0,66,1.0,7.3,0.0,20
18,2.0,1.0,1712421000,7,7.0,0.494059,0.7082,1.0,1.0,89,1.0,8.6,1.0,22
17,0.0,1.0,1713108600,7,5.0,0.289273,0.2441,0.0,0.0,90,2.0,6.5,0.0,23
32,0.0,0.0,1713637800,7,7.0,0.133283,0.2494,0.0,0.0,90,2.0,7.6,0.0,41
22,0.0,1.0,1713898800,6,4.0,0.099157,1.0261,0.0,2.0,72,4.0,8.6,0.0,29
20,1.0,0.0,1714309200,7,12.0,0.255997,0.4079,1.0,1.0,90,1.0,8.3,0.0,28
27,2.0,0.0,1714822200,8,12.0,0.239368,0.1317,0.0,0.0,90,2.0,8.6,0.0,37
15,1.0,0.0,1715527800,14,8.0,0.600385,0.0,1.0,0.0,90,0.0,7.1,0.0,26
18,0.0,2.0,1716130800,3,6.0,0.0365355,1.3771,0.0,1.0,90,1.0,7.3,4.0,22
