accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
2.0,0.0,1.0,1692453600,0.0,1.0,0.0145178,0.262,0.0,0.0,19.0,1.0,6.4,0.0,2.0
1.0,0.0,0.0,1693058400,1.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,6.5,0.0,3.0
7.0,0.0,1.0,1693663200,4.0,2.0,0.0279089,0.4681,0.0,0.0,19.0,0.0,6.4,2.0,7.0
2.0,0.0,0.0,1694881800,1.0,1.0,0.164383,0.0184,0.0,0.0,8.0,0.0,6.7,0.0,4.0
10.0,0.0,1.0,1695486600,2.0,4.0,0.0737676,0.1833,0.0,0.0,89.0,0.0,6.5,1.0,11.0
26.0,0.0,0.0,1696165200,6.0,4.0,0.0132168,0.0272,0.0,0.0,75.0,0.0,6.8,1.0,31.0
0.0,0.0,0.0,1700933400,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
4.0,0.0,0.0,1701529200,0.0,2.0,0.0,0.5627,0.0,0.0,12.0,1.0,7.4,2.0,4.0
5.0,0.0,0.0,1701891000,2.0,2.0,0.0,0.0437,0.0,0.0,45.0,0.0,6.6,0.0,9.0
8.0,0.0,0.0,1702134000,3.0,3.0,0.0558298,0.0,0.0,0.0,66.0,0.0,6.6,0.0,12.0
5.0,0.0,0.0,1702821600,5.0,4.0,0.00958127,0.1132,0.0,1.0,68.0,1.0,7.4,0.0,5.0
24.0,1.0,1.0,1703705400,6.0,5.0,0.430709,0.3301,0.0,0.0,86.0,2.0,7.0,0.0,32.0
16.0,0.0,0.0,1703948400,7.0,6.0,0.0329477,0.5739,0.0,1.0,80.0,2.0,7.3,0.0,19.0
10.0,0.0,2.0,1705771800,3.0,3.0,0.00686738,0.5919,0.0,0.0,89.0,1.0,6.4,2.0,15.0
15.0,0.0,0.0,1706729400,4.0,5.0,0.109918,0.0,0.0,0.0,88.0,0.0,6.4,0.0,19.0
2.0,0.0,0.0,1707163200,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,6.5,0.0,3.0
1.0,0.0,0.0,1707577200,5.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,6.1,0.0,1.0
6.0,0.0,0.0,1708173000,2.0,2.0,0.0,0.0,0.0,0.0,27.0,0.0,6.5,0.0,7.0
4.0,0.0,0.0,1708457400,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,6.5,0.0,4.0
35.0,1.0,0.0,1708977600,6.0,3.0,0.259215,0.0322,1.0,0.0,90.0,2.0,7.4,0.0,41.0
10.0,0.0,0.0,1710005400,5.0,2.0,0.0,0.0195,0.0,0.0,90.0,0.0,6.4,0.0,16.0
6.0,1.0,0.0,1710601200,0.0,1.0,0.345808,0.1409,0.0,0.0,31.0,1.0,7.2,0.0,7.0
15.0,0.0,1.0,1711828800,3.0,6.0,0.0844776,0.98,0.0,0.0,87.0,3.0,7.2,2.0,22.0
11.0,0.0,0.0,1712169000,6.0,2.0,0.194667,0.0,0.0,0.0,73.0,0.0,6.4,0.0,13.0
2.0,0.0,0.0,1712412000,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,6.5,0.0,2.0
5.0,0.0,0.0,1713016800,0.0,2.0,0.00608402,0.0347,0.0,0.0,11.0,1.0,7.0,0.0,6.0
9.0,0.0,2.0,1713621600,4.0,1.0,0.0520514,1.2822,0.0,1.0,71.0,2.0,6.8,1.0,11.0
11.0,0.0,0.0,1714235400,3.0,2.0,0.00707935,0.0768,0.0,0.0,22.0,1.0,6.8,0.0,14.0
11.0,0.0,2.0,1714831200,5.0,3.0,0.0132648,0.4515,0.0,0.0,66.0,2.0,6.1,0.0,14.0
14.0,0.0,1.0,1715436000,5.0,3.0,0.0450303,0.1494,0.0,0.0,63.0,2.0,6.7,0.0,21.0
