accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
7.0,0.0,0.0,1691841600,1.0,2.0,0.00976061,0.0,0.0,0.0,17.0,0.0,6.9,0.0,10.0
12.0,1.0,0.0,1693058400,2.0,0.0,0.684261,0.0,0.0,0.0,45.0,0.0,7.1,0.0,17.0
22.0,0.0,0.0,1694964600,0.0,4.0,0.0452774,0.089,0.0,1.0,66.0,1.0,7.9,0.0,26.0
9.0,0.0,0.0,1696779000,1.0,0.0,0.00568374,0.0,0.0,0.0,45.0,0.0,6.6,0.0,9.0
1.0,0.0,0.0,1697905800,1.0,0.0,0.0,0.2214,0.0,1.0,12.0,1.0,7.3,0.0,2.0
9.0,0.0,0.0,1698501600,1.0,2.0,0.0341097,0.0,0.0,0.0,24.0,0.0,6.8,0.0,12.0
3.0,0.0,0.0,1699119000,1.0,0.0,0.0406022,0.0287,0.0,0.0,11.0,0.0,6.5,0.0,3.0
22.0,1.0,0.0,1699714800,5.0,4.0,0.224095,0.4516,1.0,1.0,81.0,2.0,8.9,0.0,28.0
19.0,0.0,1.0,1700933400,4.0,4.0,0.039534,0.2939,0.0,0.0,90.0,0.0,6.7,2.0,28.0
35.0,0.0,2.0,1701529200,6.0,5.0,0.0284722,0.75,0.0,0.0,90.0,2.0,6.7,2.0,44.0
10.0,0.0,0.0,1701807300,3.0,2.0,0.0210962,0.1676,0.0,0.0,26.0,0.0,6.8,2.0,16.0
2.0,0.0,0.0,1702143000,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,6.5,0.0,4.0
4.0,0.0,0.0,1702821600,2.0,1.0,0.0384184,0.0,0.0,0.0,8.0,0.0,6.7,0.0,5.0
7.0,0.0,0.0,1703352600,4.0,0.0,0.0346776,0.0,0.0,0.0,22.0,0.0,6.2,0.0,9.0
35.0,0.0,1.0,1703794500,3.0,3.0,0.105096,0.8497,0.0,0.0,79.0,1.0,7.0,3.0,46.0
4.0,0.0,0.0,1704031200,1.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,6.5,0.0,6.0
18.0,0.0,1.0,1705753800,4.0,1.0,0.0226005,1.0903,0.0,1.0,69.0,1.0,7.0,2.0,21.0
8.0,0.0,0.0,1706643000,1.0,2.0,0.0,0.0466,0.0,0.0,12.0,0.0,6.7,1.0,9.0
2.0,0.0,0.0,1707064200,1.0,2.0,0.0,0.0413,0.0,1.0,16.0,1.0,7.5,0.0,4.0
27.0,0.0,1.0,1707660000,10.0,7.0,0.305032,0.7509,0.0,1.0,67.0,2.0,7.6,3.0,35.0
7.0,0.0,0.0,1708182000,1.0,3.0,0.0,0.3065,0.0,1.0,69.0,1.0,7.8,2.0,14.0
2.0,0.0,0.0,1708804800,2.0,3.0,0.0,0.0,0.0,0.0,26.0,0.0,6.6,0.0,7.0
9.0,0.0,0.0,1709582400,0.0,1.0,0.00751951,0.0,0.0,0.0,16.0,0.0,6.6,0.0,9.0
31.0,0.0,0.0,1710005400,5.0,5.0,0.221195,0.1898,0.0,0.0,79.0,2.0,7.5,0.0,36.0
8.0,0.0,0.0,1711899000,1.0,1.0,0.00713856,0.0604,0.0,0.0,18.0,1.0,6.8,0.0,10.0
24.0,0.0,0.0,1712169000,4.0,4.0,0.273497,0.0531,0.0,0.0,90.0,0.0,7.1,0.0,30.0
3.0,0.0,0.0,1712421000,1.0,2.0,0.0,0.355,0.0,1.0,26.0,2.0,7.5,0.0,5.0
24.0,0.0,1.0,1713108600,3.0,2.0,0.0726437,0.5341,0.0,0.0,67.0,1.0,6.7,0.0,26.0
18.0,0.0,0.0,1713637800,8.0,3.0,0.0502376,0.0681,0.0,1.0,72.0,1.0,7.3,0.0,24.0
25.0,0.0,0.0,1713898800,2.0,3.0,0.0468073,0.5481,0.0,1.0,72.0,1.0,7.8,1.0,28.0
12.0,0.0,0.0,1714309200,4.0,4.0,0.031719,0.0431,0.0,0.0,63.0,0.0,6.7,0.0,13.0
24.0,0.0,0.0,1714822200,4.0,3.0,0.0412534,0.4307,0.0,1.0,81.0,1.0,7.7,1.0,29.0
8.0,0.0,0.0,1715527800,2.0,3.0,0.619886,0.5045,0.0,1.0,66.0,1.0,7.3,0.0,11.0
26.0,1.0,0.0,1716130800,7.0,1.0,0.1325,0.0274,0.0,0.0,78.0,0.0,6.7,0.0,30.0
