accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
18,0.0,1.0,1691940600,4,3.0,0.0437268,0.8433,0.0,1.0,77,1.0,7.3,2.0,20
32,0.0,0.0,1692453600,10,7.0,0.224878,0.4206,0.0,1.0,86,1.0,7.7,0.0,40
2,0.0,0.0,1693150200,4,1.0,0.0,0.0757,0.0,0.0,33,1.0,6.6,0.0,4
22,0.0,0.0,1693746000,3,2.0,0.0551662,0.026,0.0,0.0,65,0.0,6.7,0.0,27
25,1.0,1.0,1694863800,6,4.0,0.45542,0.2577,0.0,0.0,45,1.0,6.9,1.0,33
20,0.0,0.0,1695560400,8,6.0,0.107053,0.0146,0.0,0.0,81,0.0,6.9,1.0,25
13,0.0,1.0,1696091400,9,4.0,0.0618962,0.6571,0.0,0.0,73,0.0,6.3,1.0,21
23,0.0,0.0,1696770000,10,8.0,0.0524452,0.1248,0.0,0.0,90,0.0,6.9,2.0,27
36,0.0,0.0,1697887800,4,9.0,0.0713259,0.2373,0.0,0.0,81,0.0,7.7,2.0,41
6,0.0,0.0,1699201800,4,1.0,0.018872,0.1531,0.0,1.0,17,1.0,7.2,0.0,7
2,0.0,0.0,1699797600,4,0.0,0.0,0.0,0.0,0.0,14,0.0,6.2,0.0,4
6,0.0,0.0,1700915400,3,0.0,0.0132331,0.0,0.0,0.0,36,0.0,6.5,0.0,9
29,0.0,0.0,1701612000,7,5.0,0.0434006,0.5345,0.0,0.0,90,4.0,7.4,1.0,38
15,0.0,0.0,1701891000,4,4.0,0.108006,0.0,0.0,0.0,67,0.0,6.9,0.0,16
24,0.0,0.0,1702125000,9,7.0,0.0422636,0.0512,0.0,0.0,90,0.0,6.9,1.0,28
24,0.0,0.0,1702830600,7,5.0,0.141349,0.1688,0.0,0.0,78,0.0,7.0,0.0,26
10,0.0,0.0,1703352600,5,2.0,0.055102,0.0961,0.0,0.0,68,0.0,6.8,1.0,13
10,0.0,1.0,1703611800,4,0.0,0.133812,0.1517,1.0,0.0,23,1.0,6.5,0.0,11
27,0.0,0.0,1704139200,8,6.0,0.203469,0.0912,0.0,0.0,65,1.0,7.9,0.0,32
17,0.0,0.0,1705854600,5,2.0,0.0404353,0.019,0.0,0.0,64,1.0,6.7,0.0,19
30,0.0,0.0,1706732100,2,4.0,0.0501723,0.474,1.0,1.0,90,2.0,8.9,1.0,38
17,0.0,0.0,1707064200,11,6.0,0.0184352,0.1638,0.0,0.0,90,1.0,6.9,0.0,21
25,0.0,1.0,1707577200,6,7.0,0.0991387,1.0017,0.0,1.0,82,4.0,7.6,0.0,27
46,1.0,0.0,1708173000,11,5.0,0.222118,0.1268,1.0,0.0,90,0.0,7.7,1.0,49
24,0.0,3.0,1708543800,9,8.0,0.0514882,1.7595,0.0,1.0,89,3.0,7.2,3.0,27
40,0.0,0.0,1709391600,5,6.0,0.096248,0.5511,0.0,0.0,90,0.0,7.3,2.0,44
33,0.0,1.0,1710085500,11,6.0,0.212285,0.5778,0.0,0.0,90,0.0,7.1,2.0,37
34,2.0,0.0,1711890000,13,4.0,0.450211,0.6439,0.0,1.0,89,2.0,7.9,1.0,37
49,0.0,0.0,1712255400,6,5.0,0.148055,0.1346,1.0,0.0,90,0.0,8.0,2.0,54
29,1.0,1.0,1712500200,16,8.0,0.357542,0.9885,0.0,1.0,90,2.0,7.9,3.0,34
12,0.0,0.0,1713099600,3,2.0,0.0255552,0.2109,0.0,0.0,66,1.0,6.8,0.0,15
17,0.0,1.0,1713713400,4,5.0,0.0337681,0.0981,0.0,0.0,74,0.0,6.7,1.0,21
44,0.0,1.0,1713985200,7,7.0,0.41278,0.3309,0.0,0.0,90,1.0,7.4,1.0,48
36,0.0,0.0,1714217400,7,4.0,0.3275,0.1487,1.0,0.0,79,2.0,8.3,1.0,42
19,0.0,0.0,1714923000,5,7.0,0.0936292,0.2754,0.0,0.0,75,1.0,7.3,1.0,19
23,0.0,0.0,1715626800,9,6.0,0.075513,0.0,0.0,0.0,76,0.0,7.0,0.0,30
30,0.0,1.0,1716130800,10,4.0,0.202778,0.4706,0.0,0.0,71,1.0,7.1,2.0,35
