accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
15,0.0,1.0,1692039600,2.0,7.0,0.0294633,0.5708,0.0,0.0,77,1.0,7.2,3.0,17
20,1.0,1.0,1692453600,5.0,7.0,0.324024,0.4456,0.0,0.0,90,1.0,7.5,0.0,25
17,0.0,0.0,1693058400,8.0,2.0,0.0,0.1642,0.0,0.0,85,0.0,6.2,1.0,18
26,0.0,0.0,1693746000,9.0,6.0,0.019943,0.6797,0.0,1.0,90,1.0,7.2,0.0,30
10,0.0,0.0,1694863800,4.0,6.0,0.0656199,0.0942,0.0,0.0,61,1.0,7.0,1.0,13
15,0.0,0.0,1695477600,6.0,6.0,0.0,0.0,0.0,0.0,71,0.0,6.6,0.0,21
16,1.0,0.0,1696082400,5.0,8.0,0.399589,0.0,1.0,0.0,86,0.0,7.4,0.0,19
6,0.0,0.0,1696770000,6.0,2.0,0.0,0.0,0.0,0.0,76,0.0,6.5,0.0,9
32,0.0,1.0,1697896800,7.0,6.0,0.0670281,0.6066,0.0,1.0,82,4.0,8.0,1.0,37
17,0.0,0.0,1698510600,7.0,14.0,0.0350306,0.2994,0.0,0.0,90,3.0,7.5,0.0,23
28,0.0,0.0,1699110000,7.0,4.0,0.261867,0.0474,0.0,0.0,90,1.0,6.5,0.0,40
22,1.0,0.0,1699705800,12.0,5.0,0.1588,0.2384,1.0,0.0,90,0.0,7.4,2.0,30
19,0.0,0.0,1701115200,6.0,3.0,0.00943342,0.2076,0.0,1.0,83,1.0,7.2,1.0,20
17,0.0,1.0,1701529200,6.0,5.0,0.00906608,0.428,0.0,1.0,90,2.0,7.5,1.0,20
18,1.0,0.0,1701804600,5.0,4.0,0.0937365,0.0145,1.0,0.0,87,1.0,7.4,0.0,22
30,0.0,0.0,1702134000,7.0,6.0,0.0111062,0.9234,0.0,1.0,89,4.0,8.1,0.0,36
33,0.0,0.0,1702821600,9.0,3.0,0.170455,0.1687,0.0,0.0,90,2.0,7.3,1.0,42
16,0.0,0.0,1703422800,11.0,3.0,0.0750397,0.0376,0.0,0.0,86,0.0,6.4,1.0,19
24,1.0,0.0,1703705400,11.0,4.0,0.0822361,0.1598,1.0,0.0,90,0.0,7.6,2.0,30
32,1.0,0.0,1703948400,6.0,5.0,0.199346,0.9037,1.0,1.0,80,1.0,8.5,1.0,34
15,0.0,1.0,1705952700,10.0,3.0,0.163573,0.7433,0.0,0.0,90,1.0,6.7,2.0,20
28,0.0,0.0,1706818500,8.0,8.0,0.134477,0.1362,1.0,0.0,90,1.0,7.5,1.0,38
26,1.0,0.0,1707055200,7.0,8.0,0.105784,1.1926,0.0,3.0,90,4.0,10.0,1.0,32
8,0.0,0.0,1707577200,0.0,0.0,0.0243074,0.1183,0.0,0.0,20,2.0,7.0,0.0,10
9,0.0,0.0,1712083500,0.0,2.0,0.0,0.0,0.0,0.0,14,0.0,6.8,0.0,9
15,0.0,0.0,1712412000,3.0,8.0,0.0286523,0.0268,0.0,0.0,35,0.0,6.9,0.0,17
23,0.0,0.0,1713016800,3.0,4.0,0.0272928,0.5326,0.0,2.0,76,2.0,8.4,1.0,26
12,0.0,0.0,1713984300,4.0,4.0,0.348272,0.0901,0.0,0.0,35,1.0,7.1,0.0,15
31,0.0,0.0,1714226400,11.0,4.0,0.0224893,0.0081,1.0,0.0,76,0.0,6.5,0.0,38
25,0.0,0.0,1714840200,10.0,3.0,0.0160692,0.0,0.0,0.0,76,0.0,6.4,0.0,30
22,0.0,0.0,1715436000,7.0,5.0,0.0441548,0.3561,0.0,1.0,90,3.0,7.7,0.0,27
14,0.0,1.0,1716130800,11.0,5.0,0.0204144,0.2923,0.0,0.0,78,1.0,6.2,0.0,19
