accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
31,1.0,0.0,1691857800,4.0,3.0,0.0747241,0.0545,0.0,0.0,86,1.0,7.4,0.0,32
23,0.0,0.0,1692471600,6.0,0.0,0.0342398,0.0621,0.0,0.0,86,0.0,6.4,0.0,28
31,0.0,0.0,1693150200,3.0,1.0,0.0177788,0.5393,0.0,0.0,90,1.0,7.4,4.0,36
21,0.0,0.0,1693672200,0.0,1.0,0.0,0.0,0.0,0.0,58,0.0,6.7,0.0,27
3,0.0,0.0,1694881800,2.0,1.0,0.0,0.0,0.0,0.0,17,0.0,6.4,0.0,3
24,0.0,0.0,1695569400,4.0,3.0,0.0255238,0.375,0.0,1.0,70,1.0,7.5,1.0,29
28,0.0,0.0,1696082400,1.0,7.0,0.0557071,0.063,0.0,1.0,89,1.0,8.0,0.0,40
36,0.0,0.0,1696770000,1.0,1.0,0.0227882,0.0156,0.0,0.0,82,0.0,6.7,1.0,42
11,0.0,0.0,1697896800,2.0,1.0,0.00641766,0.1621,0.0,0.0,20,1.0,6.7,0.0,14
18,0.0,0.0,1698510600,3.0,4.0,0.0140426,0.0,0.0,0.0,72,0.0,6.8,0.0,21
24,0.0,0.0,1699119000,4.0,4.0,0.0681088,0.0,0.0,0.0,63,0.0,7.2,0.0,26
10,0.0,0.0,1699723800,3.0,2.0,0.00706551,0.0,0.0,0.0,31,0.0,6.4,0.0,13
32,0.0,0.0,1700924400,5.0,5.0,0.163294,0.0,1.0,0.0,87,0.0,7.5,0.0,34
29,1.0,0.0,1701547200,4.0,2.0,0.0603415,0.4708,0.0,0.0,90,1.0,7.4,3.0,37
28,0.0,2.0,1701977400,4.0,4.0,0.0270335,0.5372,0.0,0.0,90,1.0,6.1,2.0,33
18,0.0,1.0,1702225800,3.0,6.0,0.043245,0.1428,0.0,0.0,64,1.0,7.3,0.0,18
65,0.0,0.0,1702738800,4.0,4.0,0.105482,1.1723,0.0,1.0,90,1.0,8.3,1.0,72
21,0.0,0.0,1703343600,4.0,3.0,0.0100791,0.1727,0.0,0.0,81,0.0,6.8,1.0,25
23,1.0,0.0,1703593800,2.0,4.0,0.223723,0.0606,0.0,0.0,55,0.0,7.5,1.0,25
6,0.0,0.0,1704139200,2.0,4.0,0.0,0.0697,0.0,0.0,36,0.0,6.6,1.0,6
12,1.0,0.0,1705167000,6.0,5.0,0.0798355,0.1175,0.0,0.0,90,0.0,7.3,1.0,19
11,1.0,0.0,1706645700,2.0,3.0,0.60933,0.0,0.0,0.0,47,0.0,6.8,0.0,14
29,0.0,0.0,1706972400,1.0,2.0,0.0261298,0.0,0.0,0.0,63,0.0,6.8,0.0,34
22,0.0,0.0,1707586200,2.0,1.0,0.00680757,0.0,0.0,0.0,60,0.0,6.4,0.0,25
20,0.0,0.0,1708182000,3.0,6.0,0.239068,0.251,0.0,0.0,89,0.0,7.8,4.0,23
13,0.0,0.0,1708804800,3.0,3.0,0.0143779,0.0,0.0,0.0,64,0.0,6.6,0.0,16
8,0.0,1.0,1709391600,0.0,1.0,0.00777332,0.1675,0.0,0.0,20,1.0,6.5,0.0,8
19,0.0,0.0,1710187200,7.0,2.0,0.0339964,0.0635,0.0,0.0,69,1.0,6.6,0.0,24
7,1.0,0.0,1711801800,0.0,1.0,0.35362,0.0,0.0,0.0,11,0.0,7.2,0.0,8
9,0.0,0.0,1714831200,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,6.4,0.0,9
10,0.0,0.0,1715436000,2.0,0.0,0.00917766,0.0506,0.0,0.0,22,1.0,6.5,0.0,10
4,0.0,0.0,1715799600,1.0,1.0,0.0,0.0,0.0,0.0,28,0.0,6.5,0.0,4
12,0.0,0.0,1716130800,1.0,2.0,0.0178236,0.0,0.0,0.0,22,0.0,6.7,0.0,12
