accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
17,0.0,3.0,1691940600,5,5.0,0.0126594,0.5452,0.0,0.0,90,2.0,6.1,2.0,21
21,0.0,0.0,1692545400,4,7.0,0.0509746,0.7857,0.0,0.0,90,0.0,7.2,2.0,31
19,1.0,1.0,1692990000,4,5.0,0.17665,0.7122,0.0,1.0,83,3.0,7.9,0.0,22
22,0.0,2.0,1693663200,6,6.0,0.118561,0.9876,0.0,0.0,90,0.0,6.3,1.0,25
14,0.0,0.0,1694955600,8,3.0,0.0689709,0.2739,0.0,0.0,90,1.0,6.8,2.0,16
7,0.0,1.0,1695560400,5,3.0,0.00980591,0.4822,0.0,0.0,68,1.0,6.4,0.0,10
5,0.0,0.0,1696687200,3,4.0,0.0453439,0.3015,0.0,1.0,45,1.0,7.6,0.0,7
6,0.0,0.0,1697905800,4,1.0,0.166202,0.0293,0.0,0.0,24,1.0,6.4,0.0,6
24,0.0,0.0,1698492600,8,4.0,0.0597021,0.1095,0.0,0.0,90,0.0,6.9,2.0,29
10,0.0,1.0,1699300800,7,3.0,0.058262,2.8849,0.0,3.0,90,5.0,9.2,1.0,11
6,0.0,0.0,1699806600,3,2.0,0.011664,0.681,0.0,1.0,89,2.0,7.0,0.0,12
11,0.0,0.0,1700924400,4,4.0,0.0660788,0.0,0.0,0.0,69,0.0,6.6,0.0,15
8,0.0,0.0,1701612000,8,3.0,0.353914,0.2905,1.0,0.0,72,0.0,6.7,1.0,9
15,1.0,2.0,1701893700,5,2.0,0.0805252,0.3711,0.0,0.0,90,1.0,6.2,1.0,18
3,0.0,0.0,1702216800,3,0.0,0.0,0.2198,0.0,0.0,23,0.0,6.6,1.0,7
21,0.0,1.0,1702738800,6,2.0,0.0327852,1.1427,0.0,1.0,89,2.0,7.1,1.0,26
17,0.0,0.0,1703422800,7,3.0,0.0702207,0.0215,0.0,0.0,80,0.0,6.3,0.0,20
25,2.0,1.0,1703705400,5,3.0,0.0462452,0.6392,0.0,0.0,90,0.0,7.1,1.0,29
23,1.0,0.0,1703939400,13,5.0,0.264572,0.112,1.0,0.0,90,2.0,7.2,0.0,28
8,0.0,1.0,1707055200,2,1.0,0.0,0.2113,0.0,0.0,27,0.0,6.2,1.0,10
17,0.0,0.0,1707768000,4,3.0,0.02477,0.0628,0.0,0.0,79,0.0,6.5,1.0,19
14,1.0,1.0,1708191000,10,3.0,0.210149,0.399,1.0,0.0,82,1.0,6.7,0.0,20
8,0.0,1.0,1709391600,6,5.0,0.175131,1.0105,0.0,1.0,90,3.0,7.2,0.0,13
10,1.0,0.0,1710187200,9,9.0,0.0449544,0.3392,0.0,1.0,89,2.0,7.9,0.0,16
10,1.0,2.0,1711810800,2,2.0,0.0968799,0.7396,0.0,0.0,90,2.0,6.5,0.0,12
23,0.0,0.0,1712258100,5,3.0,0.133299,0.0592,0.0,0.0,90,1.0,7.0,0.0,27
16,0.0,0.0,1712507400,8,7.0,0.0551509,0.0,0.0,0.0,89,0.0,6.5,0.0,29
13,0.0,1.0,1713207600,6,10.0,0.0701927,0.4764,1.0,1.0,88,2.0,8.2,1.0,16
17,0.0,2.0,1713898800,7,7.0,0.0209186,0.498,0.0,0.0,90,0.0,6.1,1.0,22
24,0.0,1.0,1714244400,6,2.0,0.0385821,0.3653,0.0,0.0,90,0.0,6.6,1.0,27
6,0.0,1.0,1714674600,8,8.0,0.0170873,0.6711,0.0,1.0,89,2.0,7.1,0.0,13
21,0.0,0.0,1714914000,4,7.0,0.0388841,1.7178,1.0,2.0,90,4.0,9.7,1.0,27
19,0.0,1.0,1715445000,11,5.0,0.0359633,0.6615,0.0,1.0,90,2.0,7.0,0.0,23
16,0.0,1.0,1715798700,7,6.0,0.0975826,0.577,0.0,0.0,89,0.0,7.0,1.0,17
17,0.0,0.0,1716130800,6,7.0,0.122983,0.2652,0.0,0.0,90,1.0,7.5,0.0,25
