accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
1.0,0.0,0.0,1692453600,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,6.4,0.0,2.0
2.0,0.0,0.0,1693663200,5.0,1.0,0.0261503,0.0,0.0,0.0,9.0,0.0,6.2,0.0,3.0
3.0,0.0,0.0,1696687200,3.0,0.0,0.0,0.1823,0.0,0.0,12.0,0.0,6.6,0.0,4.0
1.0,0.0,0.0,1698588000,8.0,4.0,0.0,0.1235,0.0,0.0,32.0,1.0,6.7,0.0,4.0
6.0,0.0,0.0,1699101000,10.0,7.0,0.013348,0.0741,0.0,0.0,76.0,0.0,6.8,2.0,11.0
1.0,0.0,0.0,1702738800,6.0,2.0,0.0,0.0941,0.0,0.0,29.0,0.0,6.6,1.0,3.0
7.0,0.0,0.0,1703343600,2.0,5.0,0.0802229,0.0997,0.0,0.0,64.0,0.0,7.1,2.0,10.0
10.0,0.0,0.0,1703602800,11.0,8.0,0.0276738,0.1615,0.0,0.0,90.0,1.0,6.8,0.0,15.0
2.0,0.0,0.0,1705149000,1.0,4.0,0.116361,0.0,0.0,0.0,8.0,0.0,7.0,0.0,4.0
4.0,0.0,0.0,1706643900,6.0,2.0,0.00993896,0.2638,0.0,0.0,45.0,1.0,6.5,0.0,5.0
9.0,0.0,0.0,1706972400,9.0,8.0,0.0804988,0.3001,0.0,1.0,74.0,2.0,7.7,0.0,15.0
6.0,0.0,0.0,1707577200,16.0,6.0,0.0,0.8846,0.0,2.0,75.0,2.0,8.0,0.0,17.0
5.0,1.0,0.0,1708182000,3.0,5.0,0.209992,0.5728,0.0,1.0,90.0,2.0,8.5,6.0,7.0
11.0,0.0,0.0,1708786800,7.0,4.0,0.02107,0.3342,0.0,0.0,90.0,1.0,7.3,2.0,15.0
3.0,0.0,0.0,1709391600,16.0,8.0,0.200464,0.1402,1.0,1.0,84.0,1.0,7.9,1.0,7.0
2.0,1.0,0.0,1709996400,9.0,5.0,0.0,0.5821,0.0,0.0,90.0,2.0,7.4,3.0,5.0
4.0,0.0,0.0,1710610200,6.0,4.0,0.0,1.4069,0.0,2.0,64.0,2.0,8.3,0.0,6.0
13.0,0.0,0.0,1711810800,15.0,6.0,0.0259004,0.5596,0.0,1.0,90.0,3.0,8.0,2.0,16.0
4.0,0.0,0.0,1712082600,6.0,7.0,0.00914972,0.2753,0.0,0.0,90.0,0.0,7.2,5.0,6.0
10.0,0.0,1.0,1712412000,6.0,5.0,0.0239925,0.4864,0.0,0.0,85.0,1.0,6.6,1.0,16.0
13.0,0.0,1.0,1713099600,7.0,7.0,0.0365841,0.7778,0.0,0.0,89.0,3.0,7.1,1.0,16.0
4.0,0.0,1.0,1713713400,3.0,7.0,0.00941802,0.4479,0.0,0.0,90.0,1.0,6.8,2.0,7.0
6.0,0.0,1.0,1714226400,12.0,9.0,0.0224853,0.7094,0.0,1.0,85.0,2.0,7.2,1.0,11.0
4.0,0.0,0.0,1714831200,11.0,4.0,0.0148291,0.1228,0.0,0.0,64.0,1.0,6.8,0.0,8.0
5.0,0.0,0.0,1715427000,4.0,2.0,0.0,0.1219,0.0,0.0,67.0,1.0,6.7,0.0,6.0
0.0,0.0,0.0,1716130800,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
