accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
22,1.0,1.0,1691848800,4,1.0,0.105027,0.5644,0.0,0.0,90,1.0,6.8,1.0,26
21,0.0,0.0,1692536400,10,3.0,0.0255104,0.0864,0.0,0.0,89,0.0,6.4,1.0,24
26,0.0,1.0,1693058400,4,11.0,0.0992573,0.2101,0.0,0.0,90,1.0,7.4,0.0,30
37,0.0,1.0,1693654200,5,3.0,0.0317533,1.0729,0.0,1.0,90,3.0,7.6,0.0,46
11,0.0,0.0,1694964600,3,5.0,0.0,0.0,0.0,0.0,80,0.0,7.0,0.0,17
37,0.0,0.0,1695486600,9,2.0,0.0491882,0.1158,0.0,1.0,90,1.0,7.5,1.0,45
35,0.0,1.0,1696082400,2,1.0,0.203227,0.3668,0.0,0.0,60,1.0,6.9,0.0,39
34,0.0,0.0,1696687200,6,5.0,0.224115,0.7172,0.0,1.0,89,3.0,8.4,2.0,38
13,0.0,0.0,1697887800,4,7.0,0.0,0.0,0.0,0.0,90,0.0,7.0,0.0,19
22,0.0,1.0,1698584400,8,2.0,0.0118767,0.1892,0.0,0.0,90,1.0,6.3,1.0,29
15,0.0,0.0,1699110000,7,2.0,0.00845703,0.1035,0.0,0.0,90,1.0,6.7,0.0,18
20,1.0,0.0,1699714800,10,1.0,0.0510027,0.7235,1.0,1.0,90,1.0,7.4,0.0,24
16,0.0,0.0,1701016200,9,3.0,0.106751,0.2389,0.0,0.0,89,0.0,6.6,1.0,22
19,1.0,0.0,1701538200,6,3.0,0.0324572,0.0,0.0,0.0,90,0.0,6.9,0.0,35
30,0.0,0.0,1701977400,4,3.0,0.0221228,0.5332,0.0,1.0,90,1.0,7.6,1.0,33
14,0.0,0.0,1702216800,8,1.0,0.00534012,0.1887,0.0,1.0,90,1.0,7.0,0.0,21
10,0.0,0.0,1702747800,3,1.0,0.00714878,0.0,0.0,0.0,45,0.0,6.6,0.0,12
12,0.0,0.0,1705240800,6,6.0,0.00933291,0.0436,0.0,0.0,90,0.0,6.9,0.0,21
16,0.0,1.0,1708372800,1,1.0,0.00738724,0.6712,0.0,0.0,72,1.0,6.6,1.0,24
15,0.0,0.0,1708786800,6,1.0,0.0,0.0526,0.0,0.0,89,1.0,6.7,0.0,20
24,0.0,1.0,1709391600,11,0.0,0.0339728,0.2497,0.0,0.0,89,1.0,6.1,0.0,27
10,0.0,0.0,1709987400,3,1.0,0.00960892,0.1707,0.0,0.0,61,1.0,6.5,0.0,14
19,0.0,0.0,1711810800,7,3.0,0.131665,0.0,0.0,0.0,72,0.0,6.8,0.0,26
13,0.0,0.0,1712082600,4,1.0,0.0180645,0.166,0.0,0.0,60,1.0,6.8,1.0,16
14,0.0,0.0,1712412000,5,10.0,0.0395673,0.1965,0.0,0.0,90,0.0,7.2,2.0,26
37,0.0,0.0,1713207600,6,5.0,0.020903,0.0,0.0,0.0,90,0.0,6.4,0.0,41
31,0.0,0.0,1713702600,7,6.0,0.0134091,0.0,1.0,0.0,90,0.0,7.2,0.0,36
13,1.0,1.0,1713985200,3,3.0,0.0928165,0.2115,0.0,0.0,90,0.0,6.7,1.0,22
35,0.0,1.0,1714235400,5,1.0,0.0505539,0.1735,0.0,0.0,90,0.0,6.4,1.0,38
17,0.0,0.0,1714762800,2,2.0,0.0136257,0.041,0.0,0.0,54,0.0,6.6,0.0,23
18,0.0,1.0,1715436000,9,2.0,0.0477824,1.6856,0.0,1.0,69,3.0,7.2,1.0,26
24,0.0,0.0,1716130800,6,4.0,0.0216717,0.0,0.0,0.0,89,0.0,6.8,0.0,28
