accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
6,0.0,1.0,1691841600,5.0,3.0,0.0,0.2778,0.0,0.0,80,0.0,6.2,1.0,6
24,0.0,0.0,1692384300,2.0,5.0,0.0126039,0.0509,0.0,0.0,89,0.0,6.7,0.0,34
17,0.0,0.0,1693058400,3.0,6.0,0.024967,0.0,0.0,0.0,70,0.0,7.2,0.0,18
6,0.0,0.0,1694872800,3.0,1.0,0.0439285,0.0,0.0,0.0,10,0.0,6.5,0.0,6
7,0.0,2.0,1695560400,2.0,2.0,0.0,0.5874,0.0,0.0,63,2.0,6.0,0.0,9
5,0.0,0.0,1698087600,0.0,1.0,0.0,0.0,0.0,0.0,9,0.0,6.6,0.0,6
7,1.0,0.0,1698433200,1.0,2.0,0.520684,0.0,1.0,0.0,26,0.0,7.3,0.0,8
5,0.0,0.0,1699300800,2.0,1.0,0.0285445,0.0,0.0,0.0,34,0.0,6.5,0.0,6
22,0.0,0.0,1699705800,2.0,3.0,0.0162002,0.4129,0.0,1.0,75,1.0,7.5,1.0,30
21,0.0,1.0,1701007200,5.0,2.0,0.101622,0.6268,0.0,0.0,90,2.0,6.7,1.0,26
11,0.0,0.0,1701621000,3.0,4.0,0.190123,0.0436,1.0,0.0,89,1.0,7.0,0.0,22
29,0.0,0.0,1701980100,1.0,2.0,0.10579,0.4415,0.0,0.0,84,2.0,7.8,2.0,33
17,1.0,0.0,1702225800,4.0,6.0,0.164187,0.1539,0.0,0.0,86,0.0,7.6,2.0,22
4,0.0,0.0,1702670400,2.0,0.0,0.0,0.138,0.0,0.0,32,1.0,6.7,0.0,4
18,1.0,1.0,1703343600,2.0,4.0,0.256965,0.5299,1.0,0.0,90,1.0,7.7,3.0,23
10,0.0,0.0,1703791800,2.0,4.0,0.149372,0.1246,0.0,0.0,70,0.0,6.7,0.0,15
11,1.0,0.0,1704031200,6.0,5.0,0.19547,0.0,1.0,0.0,82,0.0,7.1,0.0,17
15,0.0,0.0,1705249800,7.0,5.0,0.0408946,0.0823,0.0,0.0,90,1.0,6.7,0.0,18
13,0.0,0.0,1706729400,1.0,1.0,0.072712,0.9311,0.0,1.0,45,1.0,7.5,0.0,13
6,0.0,0.0,1706963400,7.0,3.0,0.0,0.0,0.0,0.0,64,0.0,6.2,0.0,15
8,0.0,0.0,1707577200,1.0,3.0,0.0,0.3975,0.0,1.0,28,2.0,7.5,0.0,12
6,0.0,0.0,1708182000,2.0,3.0,0.00500282,0.0,0.0,0.0,19,0.0,6.6,0.0,11
12,2.0,1.0,1709391600,5.0,1.0,0.18018,0.2104,2.0,0.0,27,0.0,7.7,1.0,19
28,0.0,0.0,1710075600,7.0,7.0,0.0384259,0.3342,0.0,1.0,88,1.0,7.8,0.0,38
21,1.0,2.0,1710610200,4.0,1.0,0.606135,0.7692,0.0,0.0,80,1.0,6.2,1.0,30
15,0.0,1.0,1711810800,1.0,3.0,0.332071,0.7738,1.0,0.0,45,1.0,7.4,0.0,21
26,0.0,0.0,1712085300,4.0,2.0,0.17881,0.4103,0.0,1.0,89,1.0,7.3,0.0,35
44,0.0,2.0,1712509200,4.0,3.0,0.146089,0.8425,0.0,0.0,89,1.0,7.2,1.0,49
15,1.0,0.0,1713007800,5.0,3.0,0.110671,0.0251,0.0,0.0,90,0.0,6.5,1.0,16
11,0.0,0.0,1714309200,6.0,3.0,0.0126447,0.1281,0.0,0.0,59,0.0,6.4,0.0,15
22,0.0,1.0,1714674600,6.0,1.0,0.101547,0.2468,0.0,0.0,78,0.0,6.4,1.0,30
18,1.0,1.0,1714923000,5.0,2.0,0.247255,0.103,1.0,0.0,90,1.0,6.8,0.0,20
19,1.0,3.0,1715436000,4.0,1.0,0.0427155,1.1227,1.0,0.0,90,1.0,6.5,2.0,22
24,2.0,0.0,1715713200,0.0,4.0,0.217523,0.0,0.0,0.0,90,0.0,7.6,0.0,31
14,0.0,1.0,1716130800,5.0,2.0,0.347594,0.843,1.0,0.0,90,0.0,6.8,1.0,21
