accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
47,0.0,0.0,1691841600,7.0,6,0.17376,0.1864,0.0,1.0,90,2.0,8.2,0.0,57
35,1.0,0.0,1692644400,2.0,8,0.107743,0.2431,0.0,0.0,89,0.0,7.8,1.0,44
49,1.0,1.0,1693058400,7.0,9,1.08254,1.3555,0.0,1.0,90,2.0,7.5,1.0,59
32,0.0,1.0,1693755000,5.0,5,0.244793,0.4461,1.0,0.0,90,1.0,7.4,0.0,35
37,0.0,0.0,1694964600,8.0,7,0.136575,0.0,1.0,0.0,90,0.0,7.4,0.0,41
25,0.0,0.0,1695560400,9.0,10,0.288029,0.8564,0.0,1.0,89,2.0,8.4,1.0,31
25,0.0,1.0,1696082400,7.0,4,0.445896,0.9657,0.0,1.0,76,2.0,7.3,0.0,31
20,1.0,0.0,1697905800,8.0,11,0.160032,0.0,1.0,0.0,90,0.0,7.7,0.0,29
24,0.0,0.0,1698501600,3.0,4,0.0643192,0.0,0.0,0.0,73,0.0,7.4,0.0,27
33,0.0,0.0,1699119000,6.0,7,0.249408,0.0236,0.0,0.0,90,0.0,7.2,0.0,36
27,2.0,0.0,1699714800,2.0,6,0.395296,0.1281,1.0,0.0,81,1.0,7.9,1.0,35
31,2.0,0.0,1700933400,7.0,2,0.628034,0.0,1.0,0.0,89,0.0,7.9,0.0,40
42,0.0,0.0,1701529200,8.0,8,0.686663,0.3202,0.0,1.0,89,2.0,8.2,1.0,50
35,1.0,0.0,1701807300,8.0,7,0.390766,0.1203,1.0,0.0,90,1.0,7.6,0.0,42
22,0.0,1.0,1702143000,4.0,12,0.0857995,0.3649,0.0,0.0,90,1.0,7.3,1.0,27
34,1.0,0.0,1702821600,3.0,7,0.65682,0.2264,0.0,0.0,89,1.0,8.1,2.0,39
22,0.0,0.0,1703352600,11.0,7,0.0814461,0.0421,0.0,0.0,90,0.0,6.8,0.0,25
57,1.0,2.0,1703794500,11.0,5,0.565365,0.5926,0.0,0.0,90,3.0,7.2,1.0,62
33,0.0,1.0,1704031200,9.0,3,0.0857254,1.0187,0.0,1.0,90,1.0,6.8,1.0,42
25,1.0,0.0,1705753800,5.0,5,0.409559,0.0789,1.0,0.0,90,0.0,7.7,1.0,32
38,0.0,0.0,1706643000,6.0,3,0.192573,0.2916,0.0,1.0,90,1.0,8.2,1.0,47
18,0.0,1.0,1707064200,3.0,3,0.0314027,1.1848,0.0,1.0,79,1.0,7.2,1.0,29
47,1.0,1.0,1707660000,4.0,6,0.468492,1.7337,0.0,2.0,67,3.0,9.7,3.0,51
24,0.0,0.0,1708182000,6.0,3,0.237112,0.9078,0.0,2.0,69,2.0,8.4,0.0,31
31,1.0,0.0,1708804800,6.0,3,0.706451,0.1528,0.0,1.0,76,2.0,8.1,1.0,37
21,0.0,0.0,1709582400,0.0,2,0.260682,0.2089,1.0,0.0,45,0.0,7.9,2.0,25
40,0.0,0.0,1710005400,4.0,3,0.355134,0.1011,0.0,0.0,90,0.0,7.6,1.0,48
11,0.0,0.0,1711899000,9.0,6,0.0106928,0.0,0.0,0.0,78,0.0,6.5,0.0,14
22,0.0,0.0,1712421000,3.0,5,0.230925,0.985,0.0,1.0,64,1.0,7.8,1.0,28
35,0.0,0.0,1713108600,5.0,6,0.266838,0.4944,0.0,0.0,90,0.0,7.7,4.0,42
45,0.0,0.0,1713637800,5.0,8,0.284855,0.2414,0.0,0.0,90,1.0,7.9,1.0,57
29,0.0,0.0,1713898800,4.0,5,0.210557,0.1438,1.0,0.0,82,1.0,7.9,1.0,32
23,0.0,1.0,1714309200,8.0,12,0.0234948,0.421,0.0,1.0,90,2.0,8.2,0.0,26
29,2.0,1.0,1714822200,11.0,2,0.516563,1.314,0.0,1.0,86,3.0,7.9,0.0,32
19,0.0,0.0,1715527800,8.0,7,0.267065,0.3463,0.0,0.0,82,1.0,7.4,0.0,27
