accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
5.0,0.0,0.0,1692536400,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,6.5,0.0,6.0
6.0,0.0,0.0,1693654200,9.0,2.0,0.0,0.1749,0.0,1.0,75.0,1.0,7.3,1.0,6.0
17.0,0.0,0.0,1694872800,6.0,4.0,0.0732882,0.0,0.0,0.0,90.0,0.0,6.5,0.0,21.0
17.0,0.0,0.0,1695569400,5.0,2.0,0.0231477,0.0,0.0,0.0,90.0,0.0,6.2,0.0,18.0
16.0,0.0,0.0,1696082400,3.0,2.0,0.0435676,0.1607,0.0,0.0,79.0,0.0,6.7,1.0,17.0
10.0,1.0,0.0,1696687200,9.0,7.0,0.0149097,0.0,0.0,0.0,79.0,0.0,6.9,0.0,13.0
11.0,1.0,0.0,1697914800,8.0,4.0,0.011901,0.2234,0.0,0.0,90.0,2.0,7.3,1.0,14.0
7.0,0.0,0.0,1698501600,1.0,1.0,0.0,0.0,0.0,0.0,31.0,0.0,6.5,0.0,7.0
12.0,0.0,0.0,1699110000,10.0,2.0,0.0260993,0.0515,0.0,1.0,90.0,1.0,7.1,1.0,18.0
7.0,1.0,0.0,1699797600,3.0,4.0,0.151955,0.0,0.0,0.0,90.0,0.0,7.1,0.0,8.0
13.0,0.0,0.0,1700924400,5.0,2.0,0.0337056,0.0,0.0,0.0,90.0,0.0,6.6,0.0,16.0
6.0,0.0,0.0,1701529200,1.0,1.0,0.0,0.1176,0.0,0.0,45.0,0.0,6.7,1.0,8.0
8.0,0.0,2.0,1701891000,16.0,9.0,0.00580502,0.5594,0.0,0.0,90.0,0.0,5.9,2.0,11.0
12.0,1.0,0.0,1702134000,5.0,8.0,0.0932754,0.1611,0.0,0.0,90.0,1.0,7.6,1.0,16.0
19.0,0.0,0.0,1702738800,5.0,5.0,0.0,0.2186,0.0,0.0,90.0,0.0,6.8,1.0,24.0
7.0,0.0,0.0,1703275200,7.0,2.0,0.0,0.5083,0.0,1.0,89.0,1.0,7.1,0.0,10.0
21.0,1.0,1.0,1703602800,4.0,1.0,0.191576,0.7639,0.0,0.0,86.0,2.0,7.0,0.0,24.0
4.0,0.0,0.0,1703948400,0.0,1.0,0.049153,0.0,0.0,0.0,23.0,0.0,6.7,0.0,5.0
7.0,0.0,0.0,1705845600,0.0,3.0,0.0157296,0.0359,0.0,0.0,23.0,0.0,6.6,0.0,10.0
1.0,0.0,0.0,1706644800,2.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,6.5,0.0,1.0
8.0,0.0,0.0,1706981400,1.0,3.0,0.0277323,0.1363,0.0,0.0,25.0,0.0,6.9,0.0,11.0
8.0,0.0,1.0,1707577200,6.0,1.0,0.0177615,0.7692,0.0,1.0,81.0,1.0,6.7,1.0,10.0
4.0,1.0,0.0,1712507400,1.0,0.0,0.12643,0.0,1.0,0.0,12.0,0.0,7.2,0.0,4.0
4.0,0.0,0.0,1713016800,1.0,1.0,0.00725988,0.1129,0.0,0.0,14.0,0.0,6.7,1.0,4.0
3.0,0.0,0.0,1713621600,3.0,0.0,0.380534,0.0,0.0,0.0,22.0,0.0,6.5,0.0,4.0
7.0,0.0,0.0,1713985200,6.0,2.0,0.0110404,0.0719,0.0,0.0,62.0,0.0,6.5,1.0,9.0
11.0,0.0,0.0,1714226400,3.0,1.0,0.0269528,0.3556,0.0,0.0,67.0,0.0,6.8,1.0,14.0
9.0,0.0,2.0,1714831200,3.0,3.0,0.0372602,0.7744,0.0,0.0,74.0,2.0,6.2,1.0,13.0
4.0,0.0,0.0,1715436000,10.0,2.0,0.0059805,0.1374,0.0,0.0,81.0,0.0,6.2,2.0,6.0
5.0,0.0,0.0,1716130800,5.0,2.0,0.0125593,0.2854,0.0,0.0,62.0,0.0,6.4,0.0,5.0
