accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
19.0,0.0,0.0,1691848800,5,11,0.0881637,1.0554,0.0,1.0,90,2.0,7.8,2.0,31
12.0,0.0,0.0,1692990000,8,4,0.147501,0.1622,0.0,0.0,90,0.0,6.8,1.0,16
17.0,1.0,0.0,1693594800,16,9,0.126775,0.1646,1.0,0.0,90,0.0,7.5,2.0,34
11.0,0.0,0.0,1694872800,12,3,0.0,0.0984,0.0,0.0,74,0.0,6.3,1.0,18
15.0,0.0,1.0,1695477600,11,5,0.0787163,1.0397,0.0,1.0,90,2.0,7.2,1.0,23
10.0,0.0,0.0,1696082400,11,8,0.0160915,0.2874,0.0,1.0,78,1.0,7.4,1.0,17
20.0,0.0,0.0,1696357800,10,14,0.0314592,0.283,0.0,0.0,90,0.0,7.6,3.0,26
15.0,0.0,0.0,1696678200,9,5,0.0726425,0.1981,0.0,0.0,90,1.0,7.3,2.0,25
16.0,0.0,0.0,1697896800,11,5,0.0255339,0.1792,0.0,0.0,81,0.0,6.6,1.0,24
5.0,0.0,0.0,1698588000,9,4,0.0,0.0,0.0,0.0,76,0.0,6.3,0.0,9
9.0,0.0,1.0,1699201800,11,6,0.00757763,0.2206,0.0,0.0,75,1.0,6.5,0.0,19
12.0,0.0,0.0,1699714800,9,4,0.00611034,0.1345,0.0,0.0,90,1.0,6.8,0.0,16
11.0,0.0,0.0,1700924400,7,2,0.00562691,0.0515,1.0,0.0,74,0.0,6.8,1.0,19
7.0,0.0,0.0,1701529200,3,9,0.0,0.0,0.0,0.0,61,0.0,6.9,0.0,15
5.0,0.0,0.0,1701807300,3,4,0.0,0.0,0.0,0.0,29,0.0,6.6,0.0,9
0.0,0.0,0.0,1702216800,1,2,0.0,0.0,0.0,0.0,18,0.0,6.5,0.0,1
2.0,0.0,0.0,1703343600,5,1,0.0,0.0,0.0,0.0,10,0.0,6.3,0.0,4
5.0,0.0,0.0,1703602800,7,3,0.0,0.0,0.0,0.0,19,0.0,7.3,0.0,8
8.0,0.0,1.0,1703939400,2,1,0.00541133,0.4644,0.0,0.0,28,2.0,6.7,0.0,9
3.0,0.0,0.0,1705088700,5,2,0.0,0.1843,0.0,1.0,16,1.0,7.4,1.0,6
12.0,1.0,1.0,1706643900,6,7,0.00757376,0.3407,1.0,0.0,82,2.0,7.5,2.0,19
16.0,1.0,0.0,1706972400,1,4,0.141129,0.8213,1.0,1.0,79,2.0,8.2,0.0,20
19.0,0.0,0.0,1707577200,6,4,0.0295988,0.8135,0.0,1.0,87,2.0,7.1,0.0,22
18.0,0.0,0.0,1708273800,3,11,0.0282972,0.7151,0.0,1.0,90,1.0,8.2,3.0,28
12.0,0.0,0.0,1708543800,9,2,0.0106824,0.0,0.0,0.0,90,0.0,6.5,0.0,16
10.0,1.0,0.0,1709400600,4,4,0.397498,0.4777,0.0,1.0,90,2.0,7.9,1.0,12
15.0,0.0,0.0,1709996400,8,4,0.0228745,0.2637,0.0,0.0,90,1.0,6.7,0.0,23
22.0,1.0,1.0,1710358200,12,13,0.0130477,0.5858,0.0,0.0,90,1.0,7.2,1.0,30
17.0,0.0,0.0,1710601200,9,7,0.0295001,0.0,0.0,0.0,90,0.0,6.5,0.0,29
13.0,0.0,0.0,1711810800,10,5,0.021495,0.1998,0.0,0.0,90,0.0,6.8,0.0,16
18.0,0.0,0.0,1712169000,8,7,0.0,0.0,0.0,0.0,90,0.0,6.6,0.0,23
19.0,0.0,0.0,1712412000,5,6,0.0542736,0.6886,0.0,1.0,90,3.0,8.1,1.0,27
9.0,0.0,0.0,1713016800,11,8,0.0,0.0,0.0,0.0,90,0.0,6.5,0.0,15
19.0,0.0,0.0,1713621600,12,6,0.0140625,0.0761,0.0,0.0,90,1.0,6.6,0.0,25
14.0,0.0,1.0,1714226400,8,11,0.0279188,0.3659,0.0,1.0,90,3.0,7.4,0.0,19
18.0,0.0,0.0,1714762800,9,4,0.00626494,0.0849,0.0,0.0,90,0.0,6.9,2.0,26
16.0,0.0,0.0,1715436000,15,7,0.112743,0.0,0.0,0.0,90,0.0,6.6,0.0,24
12.0,0.0,1.0,1716130800,1,10,0.0140045,1.4485,0.0,1.0,90,2.0,7.4,2.0,17
