accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
3.0,0.0,0.0,1691848800,0.0,3.0,0.366764,0.0,0.0,0.0,10.0,0.0,7.0,0.0,5.0
7.0,0.0,0.0,1693594800,1.0,0.0,0.0181236,0.0,0.0,0.0,13.0,0.0,6.5,0.0,10.0
0.0,0.0,0.0,1694872800,1.0,1.0,0.0,0.1104,0.0,0.0,9.0,0.0,6.6,1.0,0.0
3.0,0.0,0.0,1695477600,1.0,0.0,0.0414943,0.2891,0.0,0.0,18.0,0.0,6.7,1.0,4.0
0.0,0.0,0.0,1696082400,1.0,4.0,0.0,0.0,0.0,0.0,15.0,0.0,6.9,0.0,5.0
5.0,0.0,0.0,1696678200,5.0,2.0,0.012687,0.1505,0.0,0.0,23.0,1.0,6.8,0.0,6.0
3.0,0.0,0.0,1697896800,2.0,2.0,0.0,0.0608,0.0,0.0,9.0,0.0,6.6,0.0,4.0
1.0,0.0,0.0,1703939400,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
3.0,0.0,0.0,1706643900,2.0,0.0,0.0,0.0364,0.0,0.0,8.0,0.0,6.4,0.0,4.0
1.0,0.0,0.0,1706972400,2.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,6.5,0.0,2.0
3.0,0.0,0.0,1707577200,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,6.5,0.0,4.0
18.0,0.0,0.0,1708273800,4.0,5.0,0.0603472,0.1986,0.0,0.0,68.0,1.0,6.8,0.0,22.0
6.0,0.0,0.0,1708543800,7.0,4.0,0.0117939,0.1567,0.0,0.0,58.0,0.0,6.8,1.0,12.0
3.0,0.0,0.0,1709996400,0.0,0.0,0.0,0.0792,0.0,1.0,9.0,1.0,7.5,0.0,3.0
4.0,0.0,0.0,1710358200,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,6.5,0.0,4.0
2.0,0.0,0.0,1710601200,6.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,6.4,0.0,5.0
0.0,0.0,0.0,1711810800,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,6.5,0.0,0.0
4.0,0.0,0.0,1712169000,0.0,1.0,0.00618483,0.0,0.0,0.0,15.0,0.0,6.7,0.0,4.0
5.0,1.0,0.0,1712412000,0.0,3.0,0.283279,0.0,1.0,0.0,10.0,0.0,7.6,0.0,7.0
5.0,1.0,0.0,1713016800,4.0,1.0,0.0154644,0.0937,0.0,0.0,31.0,0.0,6.7,1.0,7.0
10.0,0.0,0.0,1714226400,1.0,3.0,0.00692449,0.0811,0.0,0.0,24.0,0.0,7.0,2.0,11.0
12.0,0.0,0.0,1714762800,1.0,1.0,0.0264359,0.0388,0.0,0.0,20.0,0.0,6.8,1.0,12.0
4.0,0.0,0.0,1715436000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,6.6,0.0,5.0
2.0,0.0,0.0,1716130800,0.0,1.0,0.0,0.1264,0.0,0.0,14.0,1.0,6.9,0.0,2.0
