accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
10,0.0,0.0,1691940600,6.0,4.0,0.0528827,0.0,0.0,0.0,66,0.0,6.7,0.0,13
20,0.0,0.0,1692453600,3.0,6.0,0.037307,0.2415,0.0,0.0,62,0.0,7.1,1.0,25
4,0.0,0.0,1693150200,4.0,6.0,0.0,0.0,0.0,0.0,58,0.0,6.7,0.0,6
2,0.0,0.0,1693746000,3.0,0.0,0.0132038,0.0,0.0,0.0,25,0.0,6.4,0.0,2
10,0.0,0.0,1694863800,5.0,3.0,0.00666777,1.0815,0.0,1.0,56,1.0,7.3,2.0,13
4,0.0,1.0,1695560400,1.0,4.0,0.0,0.1277,0.0,0.0,9,1.0,6.4,0.0,8
9,0.0,0.0,1696091400,2.0,2.0,0.0450135,0.4159,0.0,1.0,45,2.0,7.5,0.0,11
12,0.0,0.0,1698588000,3.0,5.0,0.0224718,0.0278,0.0,0.0,32,0.0,6.9,1.0,17
4,0.0,1.0,1699201800,1.0,0.0,0.0276059,0.5957,0.0,0.0,24,0.0,6.1,1.0,5
30,0.0,0.0,1699797600,5.0,4.0,0.0442135,0.0551,0.0,0.0,83,1.0,7.2,1.0,33
2,0.0,0.0,1700915400,5.0,3.0,0.0,0.0,0.0,0.0,17,0.0,6.6,0.0,4
12,0.0,0.0,1701612000,2.0,2.0,0.034453,0.0185,0.0,0.0,26,1.0,6.9,0.0,16
18,0.0,0.0,1701891000,2.0,7.0,0.0311753,0.0,0.0,0.0,86,0.0,7.2,0.0,21
14,0.0,0.0,1702125000,4.0,1.0,0.0308941,0.0,0.0,0.0,33,0.0,6.7,0.0,15
13,0.0,1.0,1702830600,0.0,0.0,0.0710082,0.3312,0.0,0.0,29,0.0,6.5,2.0,16
5,0.0,0.0,1703352600,6.0,6.0,0.0387257,0.0,0.0,0.0,68,0.0,6.6,0.0,9
13,0.0,1.0,1703611800,5.0,8.0,0.0440038,0.7205,1.0,0.0,67,2.0,7.6,1.0,14
4,0.0,0.0,1704139200,0.0,1.0,0.0135609,0.7523,0.0,1.0,26,2.0,7.5,0.0,6
7,0.0,0.0,1705854600,2.0,1.0,0.090562,0.0,1.0,0.0,26,0.0,6.9,0.0,12
13,0.0,0.0,1706732100,2.0,2.0,0.0207126,0.0593,0.0,0.0,22,1.0,7.0,1.0,14
6,0.0,0.0,1707064200,5.0,4.0,0.00645563,0.0475,0.0,0.0,58,0.0,6.7,1.0,11
3,0.0,0.0,1707577200,1.0,2.0,0.024456,0.0,0.0,0.0,8,0.0,6.7,0.0,3
12,1.0,0.0,1708173000,4.0,2.0,0.0131797,0.5534,1.0,1.0,45,1.0,8.1,0.0,16
16,0.0,1.0,1708543800,7.0,12.0,0.0378543,0.9051,0.0,1.0,90,4.0,8.1,2.0,24
17,0.0,0.0,1709391600,7.0,1.0,0.0236396,0.1213,0.0,0.0,84,0.0,6.6,2.0,21
3,0.0,0.0,1710085500,1.0,0.0,0.0,0.0,0.0,0.0,14,0.0,6.4,0.0,6
2,0.0,0.0,1711890000,1.0,1.0,0.00623256,0.0,0.0,0.0,8,0.0,6.6,0.0,4
13,0.0,0.0,1712255400,4.0,4.0,0.435118,0.2797,0.0,1.0,17,1.0,8.1,2.0,13
9,0.0,0.0,1712500200,2.0,1.0,0.00510514,0.0,0.0,0.0,21,0.0,6.5,0.0,11
12,1.0,0.0,1713099600,1.0,4.0,0.409998,0.0,0.0,0.0,24,0.0,7.7,0.0,13
31,0.0,0.0,1713713400,4.0,7.0,0.0867817,0.126,1.0,0.0,86,3.0,8.2,0.0,36
25,1.0,0.0,1714217400,6.0,10.0,0.0802105,0.463,0.0,0.0,90,0.0,8.0,4.0,32
19,1.0,0.0,1714923000,3.0,5.0,0.536504,0.0857,1.0,1.0,90,2.0,8.6,0.0,26
20,0.0,0.0,1715626800,7.0,5.0,0.0207174,1.0738,0.0,1.0,75,1.0,7.5,1.0,25
30,1.0,1.0,1716130800,7.0,5.0,0.371803,0.8803,0.0,0.0,81,1.0,7.3,3.0,34
