accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
5.0,0.0,0.0,1691940600,2.0,2.0,0.0223949,0.0367,0.0,0.0,24.0,0.0,6.6,0.0,6.0
1.0,0.0,0.0,1692453600,2.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,6.6,0.0,2.0
3.0,0.0,0.0,1693150200,1.0,0.0,0.0935668,0.429,0.0,2.0,13.0,2.0,8.7,0.0,5.0
7.0,1.0,3.0,1693746000,3.0,2.0,0.0144768,1.1386,1.0,0.0,65.0,0.0,6.7,4.0,11.0
10.0,0.0,1.0,1694863800,3.0,2.0,0.226696,0.1713,0.0,0.0,34.0,1.0,6.5,1.0,16.0
14.0,0.0,2.0,1695560400,7.0,2.0,0.0106677,0.861,0.0,1.0,81.0,2.0,6.8,1.0,18.0
17.0,1.0,0.0,1696770000,5.0,3.0,0.384544,0.1028,1.0,0.0,90.0,1.0,7.4,1.0,19.0
8.0,1.0,0.0,1697887800,2.0,1.0,0.0838928,0.023,1.0,0.0,28.0,1.0,7.2,0.0,13.0
16.0,0.0,1.0,1698588000,7.0,2.0,0.0195442,1.1487,0.0,1.0,80.0,3.0,7.3,2.0,17.0
14.0,0.0,3.0,1699201800,4.0,4.0,0.0145475,0.8976,0.0,0.0,90.0,3.0,6.5,4.0,22.0
23.0,1.0,0.0,1699797600,6.0,4.0,0.105704,0.2204,1.0,0.0,90.0,3.0,7.9,0.0,26.0
10.0,0.0,1.0,1700915400,6.0,1.0,0.0264595,0.4257,0.0,0.0,85.0,1.0,6.6,2.0,15.0
17.0,1.0,2.0,1701612000,6.0,4.0,0.0556131,0.3214,0.0,0.0,90.0,0.0,6.4,2.0,30.0
3.0,1.0,1.0,1701891000,6.0,2.0,0.0628401,0.3316,1.0,0.0,23.0,1.0,6.7,0.0,4.0
12.0,0.0,1.0,1702125000,2.0,3.0,0.0117465,0.4838,0.0,0.0,74.0,0.0,6.5,2.0,15.0
8.0,0.0,0.0,1702830600,4.0,2.0,0.349975,0.2383,0.0,0.0,78.0,0.0,7.0,1.0,10.0
3.0,0.0,0.0,1703352600,1.0,4.0,0.0191596,0.0305,0.0,0.0,22.0,0.0,7.0,1.0,5.0
15.0,0.0,0.0,1703611800,7.0,5.0,0.0969013,0.095,0.0,1.0,84.0,1.0,7.8,0.0,25.0
8.0,1.0,3.0,1704139200,10.0,3.0,0.615651,1.7017,1.0,0.0,64.0,5.0,6.8,3.0,11.0
20.0,0.0,0.0,1705854600,8.0,6.0,0.403135,0.7972,0.0,2.0,90.0,3.0,8.9,0.0,25.0
16.0,1.0,2.0,1706732100,5.0,1.0,0.348386,1.4461,1.0,0.0,90.0,5.0,7.5,4.0,17.0
3.0,0.0,0.0,1707064200,1.0,2.0,0.0,0.0226,0.0,0.0,32.0,0.0,6.8,1.0,4.0
15.0,1.0,1.0,1707577200,8.0,6.0,0.439766,0.9041,0.0,1.0,90.0,2.0,7.5,1.0,22.0
9.0,0.0,0.0,1708173000,7.0,0.0,0.01105,0.6097,0.0,1.0,45.0,1.0,7.1,0.0,15.0
2.0,0.0,0.0,1709391600,1.0,2.0,0.00981619,0.6904,0.0,1.0,30.0,1.0,7.5,3.0,3.0
12.0,0.0,1.0,1710085500,2.0,6.0,0.132789,0.4556,0.0,0.0,76.0,1.0,7.0,1.0,18.0
13.0,0.0,0.0,1711890000,2.0,1.0,0.0347258,0.2507,0.0,0.0,83.0,2.0,7.1,0.0,17.0
15.0,0.0,1.0,1712255400,6.0,2.0,0.0278935,0.677,0.0,1.0,90.0,2.0,7.4,3.0,21.0
6.0,1.0,1.0,1712500200,4.0,4.0,0.598156,0.3408,1.0,0.0,69.0,0.0,7.0,3.0,12.0
8.0,0.0,1.0,1713099600,4.0,6.0,0.0930377,0.246,0.0,0.0,66.0,2.0,6.9,0.0,13.0
1.0,0.0,0.0,1713713400,2.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,6.5,0.0,3.0
11.0,1.0,1.0,1713985200,5.0,0.0,0.119484,0.7122,0.0,0.0,90.0,1.0,6.7,0.0,11.0
1.0,0.0,0.0,1714217400,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,6.6,0.0,2.0
0.0,0.0,1.0,1714923000,1.0,1.0,0.0,0.4667,0.0,0.0,15.0,1.0,6.2,0.0,3.0
4.0,0.0,0.0,1715626800,0.0,0.0,0.0,0.0306,0.0,0.0,15.0,1.0,6.7,0.0,5.0
3.0,0.0,0.0,1716130800,2.0,1.0,0.0125616,0.0859,0.0,0.0,19.0,0.0,6.5,0.0,4.0
