accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
3,0.0,0.0,1692536400,5,1.0,0.0,0.0,0.0,0.0,38,0.0,6.5,0.0,4
1,0.0,0.0,1694964600,2,3.0,0.0238301,0.098,0.0,0.0,24,0.0,6.8,1.0,6
2,0.0,0.0,1695486600,5,0.0,0.0,0.6116,0.0,1.0,27,1.0,7.0,0.0,6
12,0.0,1.0,1696082400,10,9.0,0.00589662,1.3938,0.0,1.0,90,2.0,7.0,3.0,22
9,0.0,1.0,1696687200,10,9.0,0.0154343,0.4005,0.0,0.0,83,0.0,7.0,3.0,17
2,0.0,0.0,1697887800,13,6.0,0.0211574,0.062,0.0,0.0,61,1.0,6.9,0.0,9
19,1.0,0.0,1698584400,5,8.0,0.0591803,0.233,0.0,1.0,89,1.0,7.9,1.0,27
9,0.0,0.0,1699110000,7,8.0,0.0,0.0624,0.0,0.0,89,0.0,6.8,1.0,20
7,0.0,0.0,1699714800,16,4.0,0.0453764,0.0,0.0,0.0,77,0.0,6.4,0.0,12
6,0.0,1.0,1701016200,8,3.0,0.0409946,0.5864,0.0,0.0,82,3.0,6.5,1.0,13
10,0.0,1.0,1701977400,10,11.0,0.191829,1.5789,0.0,0.0,85,3.0,7.3,3.0,19
13,0.0,1.0,1702216800,8,6.0,0.00754652,0.7875,0.0,0.0,67,1.0,6.6,0.0,19
8,0.0,1.0,1702747800,10,3.0,0.0327934,0.245,0.0,0.0,82,1.0,6.5,0.0,9
6,0.0,2.0,1703343600,6,5.0,0.060429,0.5609,0.0,0.0,90,1.0,6.0,1.0,13
3,0.0,1.0,1703708100,2,0.0,0.00684461,0.2294,0.0,0.0,25,0.0,6.1,1.0,4
14,0.0,0.0,1703948400,10,4.0,0.0185688,0.0671,0.0,0.0,74,0.0,6.7,1.0,19
4,0.0,1.0,1705240800,7,4.0,0.0,0.6643,0.0,0.0,63,1.0,6.2,0.0,8
6,0.0,0.0,1706643900,6,11.0,0.0237935,0.3124,0.0,0.0,81,0.0,7.4,4.0,14
10,1.0,1.0,1706963400,7,5.0,0.00780558,0.8993,1.0,0.0,85,1.0,7.0,3.0,16
5,0.0,0.0,1707568200,7,5.0,0.0,0.0612,0.0,0.0,77,0.0,6.7,2.0,17
20,0.0,1.0,1708372800,5,22.0,0.0429388,0.1787,0.0,0.0,90,0.0,7.5,3.0,28
5,0.0,0.0,1708786800,6,8.0,0.0,0.0,0.0,0.0,68,0.0,6.9,0.0,9
5,0.0,0.0,1709391600,2,1.0,0.0393847,0.1748,0.0,0.0,16,1.0,6.9,0.0,7
3,0.0,0.0,1709987400,2,2.0,0.0195436,0.0527,0.0,0.0,29,1.0,6.6,0.0,4
11,0.0,0.0,1711810800,9,11.0,0.139767,0.2486,0.0,0.0,90,1.0,6.9,0.0,22
1,0.0,0.0,1712082600,9,3.0,0.0,0.8024,0.0,1.0,29,1.0,7.1,1.0,4
4,0.0,1.0,1712412000,9,12.0,0.00939329,0.5421,0.0,1.0,84,3.0,7.8,1.0,11
4,0.0,1.0,1713702600,3,4.0,0.0,0.1316,0.0,0.0,67,1.0,6.6,1.0,9
8,0.0,1.0,1713985200,14,11.0,0.00603485,0.3011,0.0,1.0,89,2.0,7.3,1.0,14
9,0.0,0.0,1714762800,14,8.0,0.0149378,1.0295,0.0,1.0,80,2.0,7.1,0.0,18
20,2.0,0.0,1715436000,6,5.0,0.747394,0.0667,1.0,0.0,79,2.0,7.9,0.0,23
8,0.0,1.0,1716130800,4,4.0,0.0,0.5522,0.0,0.0,75,1.0,6.9,2.0,11
