accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
15.0,0.0,0.0,1691841600,3.0,4.0,0.00556567,0.2072,0.0,1.0,73.0,1.0,7.5,2.0,15.0
9.0,0.0,2.0,1692644400,7.0,5.0,0.0219938,0.7538,0.0,0.0,79.0,0.0,6.6,2.0,11.0
10.0,0.0,0.0,1693058400,1.0,3.0,0.103717,0.4136,0.0,1.0,45.0,1.0,7.5,2.0,12.0
19.0,0.0,0.0,1693755000,3.0,3.0,0.0603825,0.0489,0.0,0.0,76.0,0.0,7.0,0.0,23.0
5.0,0.0,0.0,1694964600,3.0,0.0,0.00700941,0.0404,0.0,0.0,66.0,0.0,6.5,0.0,7.0
6.0,0.0,1.0,1695560400,4.0,5.0,0.0,0.1103,0.0,0.0,90.0,1.0,6.3,0.0,8.0
16.0,0.0,0.0,1696082400,3.0,8.0,0.0770083,0.1219,0.0,0.0,69.0,0.0,7.4,1.0,16.0
5.0,0.0,0.0,1696779000,6.0,4.0,0.0,0.1453,0.0,0.0,75.0,0.0,6.8,3.0,8.0
2.0,0.0,0.0,1697905800,4.0,2.0,0.0,0.0714,0.0,0.0,22.0,1.0,6.7,1.0,2.0
14.0,0.0,0.0,1698501600,5.0,6.0,0.0159152,1.0133,0.0,3.0,90.0,3.0,9.4,0.0,20.0
14.0,0.0,0.0,1699119000,9.0,5.0,0.0131539,0.1462,0.0,0.0,79.0,0.0,6.7,1.0,16.0
0.0,0.0,0.0,1699714800,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,6.4,0.0,0.0
5.0,0.0,0.0,1700933400,2.0,0.0,0.0,0.0392,0.0,0.0,24.0,1.0,6.7,0.0,7.0
6.0,0.0,1.0,1701529200,4.0,0.0,0.0,0.5243,0.0,0.0,23.0,0.0,6.2,1.0,7.0
1.0,0.0,0.0,1702143000,0.0,3.0,0.0,0.0456,0.0,0.0,9.0,0.0,6.8,1.0,2.0
3.0,1.0,0.0,1702821600,1.0,0.0,0.13072,0.0,1.0,0.0,9.0,0.0,7.2,0.0,3.0
1.0,0.0,0.0,1703352600,4.0,4.0,0.0,0.0,0.0,0.0,12.0,0.0,6.7,0.0,2.0
5.0,0.0,0.0,1703794500,2.0,0.0,0.0,0.2402,0.0,0.0,26.0,1.0,6.6,0.0,6.0
7.0,0.0,0.0,1704031200,3.0,6.0,0.00881391,0.1487,0.0,0.0,90.0,1.0,6.8,1.0,11.0
2.0,1.0,0.0,1705753800,2.0,1.0,0.149343,0.0,1.0,0.0,9.0,0.0,7.4,0.0,2.0
2.0,0.0,0.0,1706643000,2.0,1.0,0.0,0.0399,0.0,0.0,12.0,0.0,6.5,0.0,3.0
8.0,0.0,0.0,1707660000,5.0,1.0,0.0267345,0.0669,0.0,0.0,23.0,1.0,6.8,0.0,8.0
6.0,0.0,0.0,1708182000,2.0,2.0,0.0185227,0.2322,0.0,0.0,21.0,0.0,6.7,2.0,9.0
2.0,0.0,0.0,1708804800,0.0,5.0,0.0,0.0,0.0,0.0,14.0,0.0,6.9,0.0,4.0
3.0,0.0,0.0,1712169000,7.0,3.0,0.0114628,0.0241,0.0,0.0,24.0,1.0,6.6,0.0,3.0
0.0,0.0,0.0,1712421000,1.0,0.0,0.0,0.1028,0.0,0.0,1.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1713108600,3.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,6.4,0.0,3.0
