accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
2.0,0.0,0.0,1693058400,2.0,0.0,0.0078394,0.0,0.0,0.0,19.0,0.0,6.5,0.0,3.0
6.0,1.0,0.0,1693746000,3.0,0.0,0.13112,0.0,2.0,0.0,19.0,0.0,7.6,0.0,7.0
7.0,1.0,0.0,1694872800,9.0,1.0,0.0786136,0.0,1.0,0.0,65.0,0.0,6.5,0.0,11.0
3.0,0.0,0.0,1695477600,0.0,3.0,0.0,0.0632,0.0,0.0,20.0,1.0,6.9,0.0,7.0
7.0,0.0,0.0,1696082400,13.0,3.0,0.184653,0.0,0.0,0.0,90.0,0.0,6.4,0.0,9.0
8.0,0.0,1.0,1696696200,7.0,4.0,0.0169382,0.2147,0.0,0.0,90.0,1.0,6.4,1.0,11.0
8.0,0.0,0.0,1697896800,4.0,6.0,0.0,0.0919,0.0,0.0,61.0,0.0,6.7,1.0,14.0
2.0,0.0,0.0,1698433200,1.0,1.0,0.0604589,0.0,0.0,0.0,11.0,0.0,6.7,0.0,2.0
2.0,0.0,0.0,1699714800,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,6.5,0.0,2.0
8.0,0.0,0.0,1700924400,0.0,3.0,0.0591058,0.0543,0.0,0.0,10.0,1.0,7.4,0.0,10.0
1.0,0.0,0.0,1701612000,1.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,6.7,0.0,3.0
2.0,0.0,0.0,1701891000,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,6.5,0.0,2.0
5.0,0.0,0.0,1702125000,5.0,4.0,0.00834963,0.9265,0.0,1.0,45.0,1.0,7.5,0.0,6.0
13.0,0.0,0.0,1702738800,6.0,7.0,0.0,0.9063,0.0,1.0,90.0,1.0,7.8,0.0,15.0
12.0,1.0,0.0,1703188800,9.0,9.0,0.151825,0.2076,0.0,0.0,90.0,1.0,7.4,1.0,18.0
14.0,0.0,0.0,1703705400,12.0,7.0,0.122044,0.0946,0.0,0.0,90.0,1.0,6.7,0.0,18.0
25.0,0.0,0.0,1703948400,7.0,4.0,0.0428447,0.0,0.0,0.0,86.0,0.0,6.9,0.0,31.0
11.0,0.0,0.0,1705753800,9.0,5.0,0.00795539,0.0,0.0,0.0,90.0,0.0,6.3,0.0,13.0
17.0,0.0,0.0,1706644800,12.0,4.0,0.0835818,0.1182,0.0,0.0,89.0,0.0,6.5,1.0,22.0
4.0,0.0,0.0,1706972400,4.0,1.0,0.0,0.0352,0.0,1.0,80.0,1.0,7.1,0.0,6.0
11.0,0.0,0.0,1707768000,7.0,4.0,0.0240756,0.1586,0.0,0.0,90.0,1.0,6.9,0.0,13.0
10.0,1.0,0.0,1708372800,17.0,6.0,0.0292252,0.1033,1.0,0.0,90.0,1.0,6.9,0.0,16.0
8.0,0.0,0.0,1708786800,11.0,4.0,0.00771814,0.8573,0.0,1.0,90.0,1.0,6.8,1.0,10.0
6.0,0.0,0.0,1709391600,11.0,3.0,0.0,0.0856,0.0,0.0,90.0,0.0,6.4,0.0,9.0
12.0,0.0,2.0,1709996400,5.0,5.0,0.0413383,1.1056,0.0,1.0,81.0,2.0,7.2,2.0,17.0
8.0,0.0,0.0,1711810800,11.0,2.0,0.0257309,0.2451,0.0,1.0,90.0,1.0,7.4,0.0,14.0
18.0,0.0,0.0,1712083500,7.0,4.0,0.0283793,0.1238,0.0,0.0,90.0,1.0,7.0,0.0,27.0
5.0,0.0,0.0,1712403000,6.0,3.0,0.0,0.4026,0.0,1.0,74.0,1.0,6.8,0.0,6.0
9.0,0.0,2.0,1713099600,13.0,3.0,0.0129157,1.2398,0.0,0.0,89.0,2.0,6.0,1.0,14.0
16.0,0.0,1.0,1713708000,1.0,1.0,0.0162145,0.8129,0.0,2.0,68.0,3.0,8.4,0.0,18.0
14.0,0.0,0.0,1713985200,12.0,9.0,0.0324703,0.3582,0.0,2.0,90.0,3.0,8.7,1.0,20.0
6.0,0.0,1.0,1714226400,8.0,1.0,0.0261883,0.2568,0.0,0.0,69.0,0.0,5.9,1.0,6.0
9.0,0.0,0.0,1715022000,6.0,3.0,0.0102125,0.1361,0.0,1.0,68.0,1.0,7.0,0.0,13.0
5.0,1.0,0.0,1715436000,1.0,4.0,0.0549292,0.7744,0.0,1.0,69.0,1.0,7.7,0.0,7.0
11.0,0.0,0.0,1716130800,0.0,3.0,0.062757,1.565,1.0,3.0,76.0,3.0,9.8,0.0,13.0
