accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
23,0.0,1.0,1691848800,7,7.0,0.0329176,1.3499,0.0,1.0,88,2.0,7.8,1.0,29
9,0.0,0.0,1692453600,2,5.0,0.00623393,0.1607,0.0,0.0,33,0.0,6.9,0.0,10
20,0.0,0.0,1693067400,2,3.0,0.111042,0.0543,0.0,0.0,30,0.0,7.1,0.0,25
16,0.0,0.0,1693672200,4,7.0,0.00892237,0.2174,0.0,0.0,77,0.0,7.3,2.0,19
17,1.0,0.0,1694872800,2,2.0,0.0,0.0,0.0,1.0,26,1.0,7.9,0.0,20
9,0.0,0.0,1695560400,5,9.0,0.0901093,0.0777,0.0,0.0,27,0.0,7.1,0.0,9
20,1.0,0.0,1696073400,4,5.0,0.761557,0.0434,1.0,0.0,45,0.0,7.4,0.0,23
15,0.0,1.0,1696770000,6,6.0,0.150966,0.5733,0.0,0.0,88,0.0,6.5,1.0,17
9,0.0,0.0,1697896800,7,3.0,0.0156955,0.0,0.0,0.0,65,0.0,6.4,0.0,12
4,0.0,1.0,1698588000,2,0.0,0.0102611,0.1692,0.0,0.0,12,0.0,6.0,0.0,4
7,0.0,0.0,1699110000,3,3.0,0.0435232,0.1457,0.0,0.0,45,0.0,6.6,0.0,15
8,0.0,0.0,1699797600,6,6.0,0.0354246,0.1203,0.0,0.0,45,0.0,6.6,1.0,11
14,0.0,0.0,1700924400,7,11.0,0.0317755,0.8184,0.0,2.0,69,2.0,9.0,0.0,20
15,0.0,0.0,1701612000,4,5.0,0.0292743,0.3003,0.0,1.0,32,2.0,7.6,0.0,16
16,0.0,0.0,1701891000,7,3.0,0.0476845,0.4889,0.0,0.0,69,2.0,7.0,1.0,24
27,1.0,0.0,1702134000,10,8.0,0.193954,0.3685,0.0,0.0,90,2.0,7.4,1.0,32
8,0.0,0.0,1702821600,2,1.0,0.0203988,0.1066,0.0,0.0,30,0.0,6.6,0.0,9
26,0.0,0.0,1703188800,6,7.0,0.215895,0.0958,0.0,0.0,90,0.0,6.7,1.0,35
26,1.0,1.0,1703791800,10,8.0,0.142219,1.9402,1.0,2.0,89,4.0,9.1,0.0,32
46,0.0,0.0,1704223800,6,1.0,0.418817,0.2696,0.0,0.0,90,1.0,6.9,0.0,53
48,0.0,0.0,1705952700,4,7.0,0.115787,0.3615,0.0,0.0,90,2.0,7.5,0.0,53
21,1.0,0.0,1706643900,7,9.0,0.157325,0.0746,0.0,0.0,71,0.0,7.3,0.0,26
35,0.0,0.0,1706972400,4,7.0,0.0761952,0.5476,0.0,1.0,88,1.0,7.9,0.0,40
35,1.0,0.0,1712169000,8,8.0,0.321906,0.2417,0.0,0.0,90,3.0,8.3,1.0,42
18,0.0,0.0,1712421000,2,2.0,0.0253657,0.1477,0.0,0.0,27,0.0,6.5,0.0,20
23,0.0,0.0,1713016800,8,14.0,0.0355323,0.2304,0.0,0.0,89,0.0,7.3,5.0,28
9,0.0,1.0,1714071600,5,5.0,0.0613303,0.3349,0.0,0.0,90,0.0,6.3,1.0,11
31,1.0,0.0,1714309200,5,7.0,0.124004,0.2006,0.0,0.0,88,0.0,7.2,1.0,36
22,1.0,2.0,1714914000,4,4.0,0.268232,1.2664,0.0,1.0,90,3.0,7.3,0.0,29
27,1.0,0.0,1715798700,3,6.0,0.87843,0.0571,1.0,0.0,90,0.0,7.7,1.0,35
36,0.0,2.0,1716130800,7,6.0,0.133533,1.1255,0.0,0.0,90,1.0,6.4,2.0,39
