accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
17,1.0,0.0,1691940600,3.0,1.0,0.313747,0.2803,1.0,0.0,77,0.0,7.4,2.0,22
28,0.0,2.0,1692453600,9.0,2.0,0.107569,1.2309,0.0,1.0,86,3.0,6.7,2.0,32
22,1.0,0.0,1693150200,6.0,4.0,0.118644,0.1743,1.0,0.0,90,1.0,7.5,0.0,23
22,2.0,0.0,1693746000,6.0,5.0,0.0718871,0.7998,0.0,1.0,90,3.0,8.1,1.0,27
18,2.0,0.0,1694863800,3.0,3.0,1.46906,0.242,2.0,0.0,89,1.0,8.2,0.0,24
29,2.0,0.0,1695560400,4.0,6.0,0.266357,1.0329,0.0,1.0,90,2.0,8.7,2.0,38
13,1.0,0.0,1696091400,7.0,2.0,0.387458,0.0341,0.0,0.0,74,0.0,6.7,1.0,20
21,0.0,0.0,1696770000,6.0,4.0,0.0672162,1.4061,0.0,2.0,90,2.0,8.6,1.0,30
19,0.0,0.0,1697887800,5.0,3.0,0.0523146,1.3889,0.0,2.0,90,2.0,8.4,1.0,24
37,0.0,0.0,1698588000,8.0,2.0,0.130377,0.8187,0.0,1.0,90,1.0,7.8,2.0,54
24,2.0,1.0,1699201800,2.0,2.0,0.0939736,0.6262,0.0,0.0,90,0.0,7.1,2.0,27
38,0.0,1.0,1699797600,2.0,1.0,0.212411,1.0386,0.0,2.0,90,2.0,8.6,1.0,53
20,0.0,0.0,1700915400,6.0,6.0,0.207479,0.0,1.0,0.0,90,0.0,7.5,0.0,26
22,2.0,2.0,1701612000,5.0,2.0,0.242782,0.7703,1.0,0.0,90,1.0,7.0,1.0,35
23,0.0,1.0,1701891000,5.0,1.0,0.0815657,0.3941,0.0,0.0,67,2.0,6.7,1.0,27
31,0.0,0.0,1702125000,3.0,1.0,0.178877,0.3334,1.0,1.0,90,1.0,7.9,0.0,39
37,0.0,0.0,1702830600,6.0,2.0,0.329425,0.3865,0.0,0.0,90,4.0,7.9,0.0,54
11,1.0,0.0,1703352600,9.0,3.0,0.126278,0.2518,0.0,1.0,90,2.0,7.7,1.0,19
31,0.0,0.0,1703611800,1.0,0.0,0.151063,0.3621,0.0,0.0,90,2.0,7.4,1.0,37
25,3.0,1.0,1704139200,6.0,2.0,1.1684,2.7032,1.0,2.0,90,4.0,9.2,0.0,39
20,1.0,1.0,1708173000,2.0,2.0,0.200478,0.4783,1.0,1.0,46,1.0,8.1,1.0,22
11,1.0,0.0,1710085500,2.0,1.0,0.145673,0.2281,0.0,0.0,29,1.0,7.4,2.0,14
29,0.0,2.0,1711890000,9.0,4.0,0.0818844,1.5001,0.0,1.0,90,4.0,7.4,5.0,37
26,0.0,0.0,1712255400,2.0,1.0,0.184632,0.1419,0.0,0.0,60,2.0,7.4,1.0,32
25,1.0,1.0,1712500200,4.0,1.0,0.160744,1.2579,0.0,1.0,90,3.0,7.7,2.0,33
19,0.0,1.0,1713099600,7.0,2.0,0.279399,0.394,0.0,0.0,90,1.0,6.8,0.0,24
3,0.0,0.0,1713713400,1.0,2.0,0.0054295,0.0,0.0,0.0,16,0.0,6.6,0.0,5
21,1.0,1.0,1713985200,2.0,0.0,0.072508,0.6369,0.0,0.0,90,2.0,7.2,3.0,26
8,0.0,0.0,1714217400,0.0,0.0,0.0155843,0.0,0.0,0.0,11,0.0,6.7,0.0,10
21,1.0,1.0,1714923000,7.0,2.0,0.314055,1.1661,1.0,1.0,90,4.0,8.2,1.0,30
17,0.0,0.0,1715626800,5.0,5.0,0.126231,0.0628,0.0,0.0,90,0.0,7.2,0.0,23
20,0.0,2.0,1716130800,6.0,4.0,0.133002,1.0663,0.0,0.0,90,5.0,6.8,0.0,29
