accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
21.0,0.0,1.0,1691857800,6.0,4.0,0.10903,0.2767,0.0,1.0,87,2.0,7.1,1.0,24.0
17.0,1.0,0.0,1692536400,2.0,0.0,0.175696,0.3241,0.0,0.0,64,2.0,7.4,1.0,20.0
21.0,2.0,0.0,1693141200,2.0,2.0,0.10406,0.1671,1.0,1.0,73,1.0,8.4,0.0,24.0
18.0,0.0,0.0,1693746000,5.0,3.0,0.0828887,0.0902,0.0,0.0,90,0.0,6.6,1.0,21.0
22.0,1.0,0.0,1694872800,2.0,0.0,0.344303,0.111,1.0,0.0,90,0.0,7.0,0.0,30.0
17.0,0.0,1.0,1695560400,3.0,1.0,0.0519978,0.2251,0.0,0.0,81,1.0,6.6,1.0,17.0
12.0,0.0,0.0,1696073400,4.0,5.0,0.0415021,0.4164,1.0,0.0,79,2.0,7.7,1.0,15.0
4.0,1.0,0.0,1696770000,2.0,1.0,0.0712925,0.0,0.0,0.0,62,0.0,6.7,0.0,5.0
25.0,1.0,0.0,1697988600,1.0,1.0,0.538354,0.0352,0.0,0.0,85,0.0,7.3,1.0,29.0
19.0,1.0,0.0,1698588000,5.0,2.0,0.316182,0.2956,0.0,1.0,89,1.0,7.9,0.0,26.0
26.0,0.0,0.0,1699192800,5.0,2.0,0.254581,0.0498,0.0,0.0,90,1.0,7.0,0.0,29.0
9.0,0.0,2.0,1699797600,3.0,1.0,0.174192,0.6859,0.0,0.0,62,1.0,6.4,1.0,12.0
9.0,0.0,0.0,1701007200,6.0,1.0,0.0307711,0.061,0.0,0.0,45,0.0,6.5,1.0,9.0
2.0,0.0,0.0,1701612000,4.0,0.0,0.0894411,0.0,1.0,0.0,16,0.0,6.5,0.0,3.0
3.0,0.0,0.0,1701893700,0.0,2.0,0.0,0.0,0.0,0.0,11,0.0,6.8,0.0,3.0
5.0,0.0,0.0,1702143000,2.0,0.0,0.0897227,0.0,0.0,0.0,45,0.0,6.8,0.0,6.0
27.0,0.0,0.0,1702821600,4.0,2.0,0.0681566,0.0546,0.0,0.0,65,0.0,6.8,0.0,29.0
18.0,0.0,0.0,1703275200,9.0,5.0,0.0353747,0.0965,0.0,0.0,74,1.0,6.7,0.0,24.0
4.0,0.0,0.0,1703620800,1.0,0.0,0.0,0.0,0.0,0.0,13,0.0,6.5,0.0,4.0
18.0,0.0,0.0,1703948400,4.0,2.0,0.0765183,1.4676,0.0,1.0,82,2.0,8.0,4.0,21.0
11.0,0.0,0.0,1705240800,2.0,2.0,0.14831,0.0426,0.0,0.0,64,1.0,7.1,0.0,12.0
10.0,0.0,1.0,1706645700,4.0,1.0,0.128651,0.2919,0.0,0.0,62,1.0,6.3,0.0,14.0
11.0,1.0,0.0,1706981400,2.0,2.0,0.0803737,0.1998,0.0,0.0,30,1.0,7.1,0.0,13.0
7.0,0.0,0.0,1707669000,3.0,1.0,0.0300599,0.115,0.0,0.0,25,0.0,6.6,1.0,9.0
0.0,0.0,0.0,1708182000,1.0,0.0,0.0,0.0,0.0,0.0,9,0.0,6.3,0.0,0.0
1.0,0.0,0.0,1708786800,0.0,0.0,0.0788602,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0
4.0,1.0,0.0,1709400600,0.0,0.0,0.240202,0.0,1.0,0.0,11,0.0,7.2,0.0,5.0
4.0,0.0,0.0,1710075600,2.0,0.0,0.0,0.031,0.0,0.0,32,0.0,6.3,0.0,6.0
18.0,1.0,0.0,1710684000,1.0,1.0,0.250241,0.0427,1.0,0.0,45,0.0,7.4,0.0,20.0
10.0,0.0,0.0,1711819800,4.0,2.0,0.0909246,0.0701,1.0,1.0,88,1.0,7.8,0.0,13.0
8.0,1.0,0.0,1712171700,6.0,4.0,0.053984,0.0532,0.0,0.0,63,0.0,6.6,0.0,12.0
1.0,0.0,0.0,1712412000,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,6.6,0.0,1.0
13.0,0.0,0.0,1713108600,3.0,2.0,0.00983202,0.0262,0.0,0.0,61,0.0,6.6,0.0,16.0
29.0,1.0,1.0,1713708000,1.0,3.0,0.336877,0.8339,0.0,1.0,89,1.0,8.0,1.0,32.0
4.0,0.0,0.0,1714244400,3.0,0.0,0.00878023,0.0,0.0,0.0,56,0.0,6.3,0.0,10.0
7.0,0.0,0.0,1714914000,2.0,0.0,0.0,0.0325,0.0,0.0,73,1.0,6.7,0.0,12.0
21.0,1.0,0.0,1715626800,3.0,6.0,0.415702,0.4415,1.0,0.0,90,1.0,8.2,2.0,27.0
14.0,0.0,1.0,1716130800,8.0,0.0,0.0102672,0.5437,0.0,0.0,87,2.0,5.7,0.0,15.0
