accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
8.0,0.0,2.0,1691848800,5.0,0.0,0.0,1.348,0.0,0.0,72.0,3.0,6.2,1.0,9.0
14.0,0.0,0.0,1692536400,2.0,0.0,0.0157477,0.097,0.0,0.0,40.0,1.0,6.6,0.0,17.0
1.0,0.0,0.0,1694881800,1.0,1.0,0.00858671,0.0149,0.0,0.0,18.0,0.0,6.6,0.0,1.0
6.0,0.0,0.0,1696165200,1.0,0.0,0.00782614,0.2727,0.0,0.0,15.0,1.0,6.7,0.0,8.0
2.0,0.0,0.0,1696687200,5.0,1.0,0.0,0.0415,0.0,0.0,20.0,1.0,6.5,0.0,3.0
10.0,0.0,1.0,1697896800,4.0,1.0,0.210769,0.7635,1.0,0.0,88.0,2.0,7.1,1.0,15.0
6.0,2.0,0.0,1698492600,4.0,0.0,0.137064,0.0,1.0,0.0,14.0,0.0,7.4,0.0,8.0
19.0,0.0,0.0,1699110000,6.0,6.0,0.0682551,0.611,0.0,1.0,90.0,1.0,7.8,1.0,26.0
5.0,0.0,0.0,1699797600,1.0,1.0,0.0291078,0.014,0.0,0.0,18.0,0.0,6.5,0.0,6.0
4.0,0.0,1.0,1700933400,3.0,1.0,0.0,0.4668,0.0,0.0,18.0,1.0,6.4,1.0,5.0
23.0,0.0,0.0,1701529200,9.0,7.0,0.0824368,0.9645,0.0,1.0,89.0,2.0,8.1,1.0,31.0
15.0,0.0,0.0,1701891000,4.0,3.0,0.0250456,0.3428,0.0,0.0,90.0,0.0,6.8,0.0,22.0
22.0,0.0,0.0,1702134000,6.0,8.0,0.0457522,0.0716,0.0,0.0,90.0,0.0,7.0,0.0,29.0
2.0,0.0,0.0,1702821600,1.0,2.0,0.0,0.0,0.0,0.0,22.0,0.0,6.5,0.0,3.0
18.0,1.0,0.0,1703705400,10.0,6.0,1.00057,0.1503,1.0,0.0,90.0,0.0,7.1,1.0,23.0
9.0,0.0,0.0,1703948400,1.0,1.0,0.0243921,0.0575,0.0,0.0,27.0,0.0,6.8,1.0,12.0
11.0,0.0,0.0,1705771800,6.0,5.0,0.0223951,0.2679,0.0,1.0,74.0,1.0,7.2,0.0,15.0
13.0,1.0,0.0,1706729400,12.0,2.0,0.212059,0.196,0.0,1.0,90.0,1.0,7.0,0.0,20.0
18.0,1.0,0.0,1707163200,8.0,2.0,0.0749508,0.282,0.0,1.0,89.0,1.0,7.2,0.0,24.0
12.0,0.0,2.0,1707577200,7.0,4.0,0.0174661,0.6455,0.0,0.0,76.0,3.0,6.7,0.0,18.0
17.0,0.0,0.0,1708173000,3.0,4.0,0.165402,0.0362,0.0,0.0,63.0,1.0,7.3,0.0,23.0
9.0,0.0,0.0,1708457400,3.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,6.5,0.0,11.0
13.0,0.0,0.0,1708977600,5.0,2.0,0.0155509,0.1234,0.0,1.0,73.0,1.0,7.0,0.0,20.0
2.0,0.0,0.0,1709391600,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,6.5,0.0,2.0
2.0,0.0,0.0,1710005400,3.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,6.3,0.0,2.0
6.0,0.0,0.0,1710601200,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,6.6,0.0,7.0
1.0,0.0,0.0,1711828800,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,6.5,0.0,2.0
1.0,0.0,0.0,1712412000,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,6.5,0.0,3.0
15.0,0.0,1.0,1713016800,5.0,1.0,0.0743657,0.4101,0.0,0.0,79.0,0.0,6.2,1.0,23.0
5.0,0.0,0.0,1713621600,0.0,0.0,0.0,0.0324,0.0,0.0,8.0,0.0,6.7,2.0,5.0
4.0,0.0,0.0,1716130800,2.0,0.0,0.00672082,0.0,0.0,0.0,16.0,0.0,6.3,0.0,5.0
