accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
10.0,0.0,1.0,1691848800,7.0,11.0,0.135752,1.0058,0.0,1.0,90.0,3.0,8.0,3.0,13.0
14.0,0.0,1.0,1692644400,8.0,3.0,0.0648306,0.4295,0.0,0.0,90.0,1.0,6.5,1.0,18.0
8.0,0.0,0.0,1693058400,1.0,1.0,0.00859022,0.0808,0.0,0.0,71.0,1.0,6.7,0.0,12.0
11.0,0.0,0.0,1693746000,11.0,2.0,0.0290623,0.7643,0.0,2.0,89.0,3.0,8.6,3.0,14.0
14.0,0.0,0.0,1694872800,9.0,7.0,0.0263154,0.311,0.0,1.0,89.0,1.0,7.4,0.0,24.0
12.0,0.0,0.0,1695477600,6.0,5.0,0.00815402,0.0,0.0,0.0,89.0,0.0,6.6,0.0,16.0
13.0,1.0,0.0,1696696200,6.0,3.0,0.0779761,0.0,0.0,0.0,90.0,0.0,6.8,0.0,18.0
10.0,0.0,0.0,1697896800,7.0,4.0,0.00825739,0.2307,0.0,0.0,90.0,1.0,6.8,0.0,12.0
4.0,0.0,0.0,1698433200,9.0,5.0,0.0270644,0.0738,0.0,0.0,79.0,1.0,6.8,0.0,8.0
6.0,0.0,0.0,1699110000,9.0,4.0,0.00503203,0.0,0.0,0.0,86.0,0.0,6.4,0.0,14.0
14.0,0.0,0.0,1699714800,9.0,2.0,0.0612429,0.959,0.0,1.0,83.0,2.0,7.4,0.0,16.0
19.0,0.0,0.0,1700924400,6.0,1.0,0.0545148,0.2722,0.0,0.0,80.0,1.0,6.7,0.0,22.0
16.0,0.0,1.0,1701612000,3.0,5.0,0.0265417,0.6269,0.0,1.0,87.0,1.0,7.5,1.0,21.0
18.0,0.0,1.0,1701891000,8.0,9.0,0.298914,0.2526,0.0,0.0,90.0,0.0,6.8,1.0,24.0
2.0,0.0,0.0,1702125000,6.0,5.0,0.0,0.0,0.0,0.0,45.0,0.0,6.9,0.0,2.0
3.0,0.0,0.0,1706644800,5.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,6.3,0.0,3.0
2.0,0.0,0.0,1706972400,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,6.4,0.0,2.0
2.0,0.0,0.0,1707768000,2.0,0.0,0.0069821,0.0388,0.0,0.0,13.0,0.0,6.5,0.0,3.0
13.0,0.0,0.0,1708372800,6.0,7.0,0.0486191,0.2136,0.0,0.0,72.0,1.0,7.0,1.0,22.0
11.0,0.0,1.0,1708786800,7.0,5.0,0.0193621,0.4072,0.0,0.0,66.0,1.0,6.7,2.0,19.0
5.0,0.0,0.0,1709391600,2.0,1.0,0.00582879,0.0,0.0,0.0,19.0,0.0,6.4,0.0,7.0
9.0,0.0,0.0,1709996400,3.0,1.0,0.012693,0.021,0.0,0.0,9.0,0.0,6.8,1.0,11.0
3.0,0.0,0.0,1712083500,0.0,1.0,0.07504,0.0,0.0,0.0,10.0,0.0,6.6,0.0,4.0
2.0,0.0,1.0,1712403000,2.0,2.0,0.0,0.472,0.0,1.0,16.0,1.0,6.9,0.0,2.0
0.0,0.0,0.0,1713099600,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,6.3,0.0,0.0
10.0,0.0,0.0,1713708000,0.0,1.0,0.00768455,0.0,0.0,0.0,22.0,0.0,6.7,0.0,11.0
4.0,0.0,0.0,1714226400,3.0,2.0,0.0273646,0.0485,0.0,0.0,21.0,1.0,6.9,0.0,4.0
7.0,0.0,0.0,1715022000,5.0,3.0,0.0144524,0.041,0.0,0.0,22.0,0.0,7.0,1.0,9.0
2.0,0.0,0.0,1715436000,5.0,3.0,0.0222077,0.0,0.0,0.0,21.0,0.0,6.5,0.0,2.0
3.0,0.0,0.0,1716130800,1.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,6.6,0.0,4.0
