accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
14,0.0,0.0,1691857800,4.0,3,0.0960037,0.3173,1.0,0.0,90,1.0,7.8,1.0,17
9,0.0,1.0,1692536400,8.0,3,0.0533583,0.3381,0.0,0.0,74,0.0,6.8,1.0,9
15,1.0,3.0,1693141200,2.0,3,0.0147201,0.9146,1.0,0.0,86,2.0,6.3,2.0,20
7,0.0,0.0,1693746000,3.0,1,0.0167664,0.2049,0.0,0.0,73,0.0,6.6,2.0,9
11,0.0,1.0,1694872800,4.0,2,0.0359753,0.6098,0.0,0.0,89,1.0,7.3,2.0,13
6,1.0,0.0,1695560400,3.0,2,0.136374,0.1978,0.0,1.0,89,1.0,7.8,0.0,7
17,0.0,1.0,1696073400,5.0,4,0.168774,0.8078,1.0,3.0,90,4.0,10.0,1.0,24
7,1.0,1.0,1696770000,9.0,2,0.271915,0.2816,1.0,0.0,90,1.0,7.1,2.0,12
17,0.0,1.0,1697988600,2.0,3,0.0426982,0.5993,1.0,1.0,90,2.0,8.0,1.0,23
9,1.0,2.0,1698588000,1.0,3,0.60795,0.6665,0.0,0.0,90,2.0,6.6,0.0,12
17,0.0,1.0,1699192800,3.0,1,0.0698731,0.3011,0.0,0.0,90,1.0,6.5,1.0,21
13,0.0,1.0,1699797600,4.0,3,0.0766206,1.9058,0.0,1.0,90,1.0,7.0,1.0,17
11,0.0,1.0,1701007200,7.0,5,0.0825532,0.6745,0.0,1.0,89,1.0,7.1,2.0,13
11,0.0,0.0,1701612000,8.0,6,0.0418055,0.1441,1.0,1.0,90,1.0,7.8,0.0,21
11,0.0,0.0,1701893700,5.0,4,0.0623243,0.2668,0.0,0.0,89,1.0,7.2,0.0,12
5,0.0,0.0,1702143000,9.0,3,0.0,0.1937,0.0,0.0,90,1.0,6.3,1.0,12
14,1.0,0.0,1702821600,6.0,5,0.162844,0.2777,0.0,1.0,90,1.0,7.6,0.0,18
8,0.0,0.0,1703275200,8.0,1,0.103601,0.1836,0.0,0.0,90,1.0,6.8,1.0,11
12,0.0,0.0,1703620800,8.0,5,0.0377764,0.0,0.0,0.0,90,0.0,6.8,0.0,15
13,1.0,0.0,1703948400,3.0,4,0.707154,0.1907,2.0,0.0,90,1.0,8.1,1.0,18
13,0.0,0.0,1705240800,10.0,4,0.0367072,0.3578,0.0,0.0,90,1.0,7.0,3.0,17
18,1.0,0.0,1706645700,6.0,4,0.179684,0.6002,0.0,1.0,90,2.0,7.8,1.0,20
14,1.0,1.0,1706981400,6.0,3,0.131612,0.5578,2.0,1.0,90,2.0,8.9,1.0,19
21,0.0,2.0,1707669000,12.0,2,0.0412385,0.7351,0.0,0.0,90,3.0,5.9,0.0,25
10,1.0,0.0,1708182000,0.0,3,0.254338,0.8896,0.0,2.0,90,2.0,9.1,2.0,14
10,0.0,1.0,1708786800,4.0,4,0.0388918,1.3962,0.0,1.0,89,2.0,7.3,1.0,11
17,0.0,1.0,1709400600,10.0,6,0.017967,0.6365,0.0,2.0,90,4.0,8.5,1.0,23
10,0.0,0.0,1710075600,6.0,4,0.027319,0.1162,0.0,0.0,90,0.0,6.5,0.0,15
14,0.0,0.0,1710684000,2.0,1,0.032833,0.0606,0.0,0.0,90,1.0,7.0,1.0,18
7,0.0,1.0,1711819800,2.0,2,0.0107753,0.2336,0.0,0.0,45,0.0,6.4,1.0,8
13,0.0,0.0,1712412000,3.0,7,0.020195,0.464,0.0,2.0,90,2.0,8.5,0.0,17
11,0.0,0.0,1713108600,6.0,4,0.013142,0.3151,0.0,1.0,90,1.0,7.7,3.0,15
28,2.0,1.0,1713708000,5.0,3,0.466958,0.3275,2.0,0.0,90,2.0,8.2,2.0,31
3,0.0,0.0,1714244400,4.0,4,0.0199159,0.3257,0.0,0.0,90,2.0,6.9,1.0,7
17,0.0,0.0,1714914000,6.0,7,0.0133385,0.0,0.0,0.0,90,0.0,6.7,0.0,20
11,0.0,1.0,1715626800,5.0,3,0.0600239,0.5424,1.0,0.0,90,0.0,6.6,1.0,15
9,0.0,1.0,1716130800,5.0,4,0.0,0.2985,0.0,0.0,68,0.0,6.3,2.0,11
