accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
12.0,0.0,0.0,1692039600,4.0,0.0,0.304906,0.058,0.0,0.0,63.0,0.0,7.0,0.0,16.0
11.0,1.0,0.0,1692453600,2.0,3.0,0.316422,0.0162,1.0,0.0,34.0,1.0,7.5,0.0,15.0
5.0,0.0,0.0,1693058400,1.0,1.0,0.0276537,0.214,0.0,0.0,16.0,1.0,6.9,0.0,7.0
17.0,0.0,0.0,1693746000,3.0,1.0,0.0,0.0514,0.0,0.0,60.0,0.0,6.6,1.0,22.0
10.0,0.0,0.0,1697896800,3.0,2.0,0.0326865,0.0691,0.0,0.0,15.0,0.0,6.6,1.0,16.0
2.0,1.0,0.0,1699705800,0.0,1.0,0.292271,0.2699,1.0,1.0,12.0,1.0,8.9,0.0,2.0
15.0,0.0,0.0,1701529200,2.0,0.0,0.104373,0.0,0.0,0.0,27.0,0.0,6.7,0.0,19.0
27.0,1.0,0.0,1701804600,6.0,7.0,0.571545,0.2123,0.0,0.0,79.0,2.0,8.2,1.0,33.0
37.0,1.0,0.0,1702134000,1.0,3.0,0.354736,0.0,1.0,0.0,69.0,0.0,7.6,0.0,49.0
40.0,0.0,0.0,1702821600,4.0,4.0,0.249461,0.0,0.0,0.0,90.0,0.0,7.3,0.0,52.0
12.0,1.0,0.0,1703422800,5.0,1.0,0.173317,0.2437,1.0,0.0,75.0,0.0,7.2,0.0,16.0
18.0,1.0,0.0,1703705400,6.0,1.0,0.310112,0.0182,1.0,0.0,65.0,0.0,7.0,0.0,24.0
34.0,0.0,0.0,1703948400,7.0,3.0,0.379066,0.0394,0.0,0.0,80.0,0.0,6.9,0.0,42.0
23.0,0.0,0.0,1705952700,4.0,3.0,0.00777443,0.2278,0.0,0.0,70.0,1.0,6.8,1.0,30.0
11.0,0.0,0.0,1706818500,0.0,2.0,0.0446388,0.7884,0.0,1.0,26.0,1.0,7.2,0.0,15.0
19.0,0.0,1.0,1707055200,0.0,3.0,0.144197,0.1571,0.0,0.0,72.0,0.0,6.8,2.0,27.0
57.0,1.0,0.0,1707577200,4.0,7.0,0.289017,0.0853,0.0,0.0,90.0,1.0,7.9,0.0,66.0
16.0,0.0,1.0,1708182000,5.0,2.0,0.142724,0.3941,1.0,0.0,73.0,2.0,7.0,1.0,25.0
43.0,0.0,0.0,1708867800,7.0,2.0,0.168022,0.4966,0.0,1.0,89.0,1.0,7.8,3.0,54.0
39.0,0.0,0.0,1709391600,2.0,4.0,0.0729634,0.2759,0.0,0.0,90.0,1.0,7.6,0.0,47.0
28.0,0.0,0.0,1709996400,7.0,4.0,0.0405938,0.0,0.0,0.0,90.0,0.0,6.6,0.0,39.0
33.0,1.0,0.0,1711819800,6.0,2.0,0.371193,0.3234,0.0,0.0,90.0,1.0,7.7,2.0,39.0
28.0,1.0,0.0,1712083500,3.0,1.0,0.159996,0.0465,1.0,0.0,83.0,0.0,7.0,0.0,36.0
28.0,0.0,1.0,1712412000,4.0,1.0,0.0577864,1.1922,0.0,1.0,75.0,3.0,7.3,0.0,36.0
24.0,0.0,1.0,1713016800,7.0,2.0,0.128187,0.1605,0.0,0.0,88.0,0.0,6.1,1.0,32.0
4.0,0.0,0.0,1713637800,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,6.4,0.0,6.0
20.0,0.0,0.0,1713984300,10.0,4.0,0.0222243,0.0627,0.0,0.0,64.0,1.0,6.5,0.0,24.0
8.0,0.0,0.0,1714226400,5.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,6.0,0.0,10.0
9.0,0.0,0.0,1714840200,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,6.6,0.0,14.0
9.0,0.0,0.0,1715436000,2.0,3.0,0.115404,0.0718,0.0,0.0,29.0,1.0,6.9,0.0,16.0
