accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
18.0,0.0,0.0,1691848800,5.0,5.0,0.00977657,0.0,0.0,0.0,88.0,0.0,6.3,0.0,21.0
18.0,0.0,0.0,1692990000,3.0,9.0,0.0469073,0.0225,0.0,0.0,77.0,0.0,6.9,1.0,20.0
22.0,0.0,1.0,1693594800,8.0,1.0,0.0155623,0.2041,0.0,0.0,84.0,0.0,5.9,1.0,24.0
8.0,0.0,0.0,1694872800,0.0,2.0,0.0,0.0519,0.0,0.0,74.0,1.0,6.4,0.0,12.0
9.0,0.0,0.0,1696357800,0.0,1.0,0.0342264,0.0202,0.0,0.0,21.0,0.0,6.7,0.0,11.0
6.0,0.0,0.0,1696678200,1.0,3.0,0.0339192,0.0,0.0,0.0,23.0,0.0,7.0,0.0,8.0
9.0,0.0,0.0,1697896800,10.0,3.0,0.0562472,0.0091,0.0,0.0,72.0,1.0,6.2,0.0,12.0
6.0,0.0,0.0,1698588000,1.0,3.0,0.0366755,0.0467,0.0,0.0,32.0,0.0,6.9,0.0,8.0
0.0,0.0,0.0,1699201800,0.0,8.0,0.0,0.4227,0.0,1.0,29.0,1.0,7.5,0.0,0.0
15.0,0.0,0.0,1699714800,2.0,3.0,0.00948092,0.0496,0.0,0.0,30.0,0.0,6.8,0.0,15.0
2.0,0.0,0.0,1700924400,1.0,1.0,0.0,0.0,0.0,0.0,29.0,0.0,6.5,0.0,3.0
9.0,0.0,0.0,1701529200,4.0,8.0,0.00587885,0.0284,0.0,0.0,90.0,0.0,6.9,0.0,14.0
2.0,0.0,0.0,1701807300,2.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,6.4,0.0,2.0
1.0,0.0,0.0,1702216800,1.0,2.0,0.0396136,0.0259,0.0,0.0,13.0,0.0,7.0,1.0,1.0
14.0,0.0,0.0,1703939400,5.0,3.0,0.233922,0.0642,0.0,0.0,45.0,0.0,6.7,0.0,18.0
11.0,0.0,0.0,1705088700,3.0,1.0,0.0147189,0.0,0.0,0.0,26.0,0.0,6.6,0.0,14.0
5.0,0.0,0.0,1706643900,3.0,1.0,0.0,0.0447,0.0,0.0,19.0,0.0,6.2,0.0,5.0
15.0,0.0,0.0,1707577200,5.0,2.0,0.240526,0.0159,0.0,0.0,37.0,0.0,7.0,1.0,16.0
27.0,0.0,0.0,1708273800,5.0,4.0,0.237403,0.1241,0.0,0.0,68.0,0.0,6.6,0.0,36.0
15.0,0.0,0.0,1708543800,4.0,4.0,0.0109904,0.0374,0.0,0.0,63.0,1.0,6.9,0.0,17.0
14.0,0.0,0.0,1709400600,7.0,7.0,0.00786063,0.4086,0.0,1.0,84.0,1.0,7.2,0.0,15.0
20.0,0.0,0.0,1709996400,4.0,7.0,0.0838361,0.0,0.0,0.0,88.0,0.0,6.8,0.0,23.0
12.0,0.0,0.0,1710358200,1.0,3.0,0.0964678,0.5569,0.0,1.0,73.0,1.0,7.8,0.0,15.0
9.0,0.0,0.0,1710601200,10.0,5.0,0.0305362,0.0348,0.0,0.0,90.0,0.0,6.2,0.0,12.0
6.0,0.0,0.0,1711810800,3.0,7.0,0.0,0.1237,0.0,1.0,74.0,1.0,7.4,0.0,12.0
12.0,0.0,0.0,1712169000,4.0,3.0,0.00940716,0.0,0.0,0.0,37.0,0.0,6.6,0.0,12.0
17.0,0.0,0.0,1712412000,6.0,4.0,0.0388566,0.1637,0.0,0.0,80.0,0.0,6.7,2.0,22.0
13.0,0.0,0.0,1713016800,2.0,5.0,0.0,0.0,0.0,0.0,90.0,0.0,6.6,0.0,15.0
20.0,0.0,0.0,1713621600,6.0,5.0,0.0212555,0.1668,0.0,0.0,71.0,0.0,6.9,1.0,25.0
19.0,0.0,0.0,1714226400,4.0,7.0,0.0205118,0.0,0.0,0.0,90.0,0.0,6.6,0.0,24.0
20.0,0.0,0.0,1714762800,9.0,9.0,0.0160068,0.035,0.0,0.0,87.0,0.0,7.2,1.0,26.0
20.0,0.0,0.0,1715436000,6.0,5.0,0.02264,0.0,0.0,0.0,90.0,0.0,7.0,0.0,24.0
15.0,0.0,0.0,1716130800,5.0,3.0,0.0,0.0732,0.0,0.0,90.0,0.0,6.5,0.0,18.0
