accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
12,0.0,0.0,1691931600,5.0,5.0,0.0543627,0.2999,0.0,1.0,72,2.0,7.9,0.0,18
10,0.0,1.0,1692453600,2.0,5.0,0.0156935,1.4105,0.0,1.0,79,3.0,8.3,3.0,11
9,0.0,1.0,1693058400,8.0,6.0,0.0,0.2731,0.0,0.0,90,0.0,6.3,2.0,15
11,0.0,0.0,1693663200,4.0,4.0,0.0147496,0.3868,0.0,0.0,90,0.0,7.0,2.0,13
13,0.0,1.0,1694881800,7.0,13.0,0.0566998,0.2986,0.0,0.0,90,1.0,7.3,2.0,22
9,1.0,0.0,1695486600,3.0,0.0,0.0319047,0.0537,0.0,0.0,90,0.0,6.7,0.0,11
8,0.0,1.0,1696165200,3.0,4.0,0.0111312,0.3726,0.0,0.0,90,1.0,6.6,0.0,11
8,0.0,0.0,1696687200,3.0,5.0,0.0160129,0.0563,1.0,0.0,70,0.0,7.3,1.0,13
14,1.0,1.0,1697896800,4.0,4.0,0.0218026,1.201,0.0,1.0,90,2.0,8.1,1.0,17
6,0.0,0.0,1698492600,6.0,6.0,0.0104508,0.0,0.0,0.0,76,0.0,6.9,0.0,8
9,0.0,0.0,1699110000,5.0,4.0,0.0190876,0.1843,0.0,0.0,89,0.0,6.7,0.0,15
11,0.0,0.0,1699797600,2.0,6.0,0.0139801,0.1361,0.0,0.0,72,0.0,6.9,1.0,14
9,1.0,1.0,1700933400,4.0,1.0,0.117249,0.3496,0.0,0.0,72,0.0,6.6,1.0,12
24,0.0,0.0,1701529200,5.0,2.0,0.110096,0.0844,0.0,0.0,90,1.0,6.8,0.0,29
3,0.0,0.0,1701891000,7.0,2.0,0.0,0.1307,0.0,0.0,50,1.0,6.5,0.0,3
9,0.0,0.0,1702134000,5.0,6.0,0.0,0.1648,0.0,0.0,90,2.0,6.9,0.0,12
2,0.0,1.0,1702821600,9.0,5.0,0.00554513,0.1834,0.0,0.0,76,1.0,6.5,1.0,7
10,0.0,0.0,1703705400,8.0,4.0,0.586947,0.2602,0.0,1.0,86,1.0,7.3,0.0,15
10,0.0,1.0,1703948400,4.0,4.0,0.0197335,0.6047,0.0,0.0,90,0.0,5.7,1.0,13
8,0.0,0.0,1708173000,0.0,4.0,0.110823,0.0,0.0,0.0,27,0.0,6.8,0.0,8
12,1.0,0.0,1708457400,3.0,4.0,0.134518,0.0,0.0,0.0,68,0.0,7.3,0.0,13
5,0.0,0.0,1708977600,0.0,1.0,0.00651538,0.0756,0.0,1.0,17,1.0,7.5,0.0,8
9,0.0,1.0,1709391600,6.0,7.0,0.0152639,0.6966,0.0,1.0,87,2.0,7.3,3.0,13
5,0.0,0.0,1710005400,4.0,6.0,0.0175706,0.3991,0.0,1.0,78,1.0,7.5,1.0,8
4,0.0,1.0,1710601200,3.0,2.0,0.0109579,0.3771,0.0,0.0,80,1.0,6.3,0.0,5
14,1.0,2.0,1711828800,5.0,4.0,0.267407,0.5589,0.0,0.0,71,0.0,6.8,4.0,17
7,0.0,0.0,1712169000,3.0,4.0,0.0083295,0.1744,0.0,0.0,73,0.0,6.8,1.0,11
13,0.0,0.0,1712412000,5.0,4.0,0.0110606,0.6823,0.0,1.0,81,1.0,7.4,0.0,17
11,0.0,0.0,1713016800,6.0,2.0,0.00910129,0.0663,0.0,0.0,89,1.0,6.6,0.0,14
11,0.0,0.0,1713621600,4.0,5.0,0.103124,0.6497,0.0,2.0,82,2.0,8.8,0.0,20
9,0.0,0.0,1714235400,3.0,3.0,0.0104506,0.0,0.0,0.0,68,0.0,6.9,0.0,13
5,0.0,0.0,1714831200,3.0,0.0,0.0518408,0.0,0.0,0.0,24,0.0,6.4,0.0,7
8,1.0,0.0,1715436000,0.0,1.0,0.0730903,0.1137,1.0,1.0,27,1.0,8.3,0.0,8
14,1.0,0.0,1716130800,2.0,4.0,0.0831076,0.3215,1.0,1.0,84,1.0,8.1,2.0,19
