accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
4.0,0.0,0.0,1693058400,3.0,2.0,0.0250939,0.0549,0.0,0.0,24.0,0.0,6.4,0.0,5.0
1.0,0.0,0.0,1694964600,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,1696687200,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1697887800,3.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,6.4,0.0,1.0
1.0,0.0,0.0,1698584400,2.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,6.5,0.0,2.0
3.0,1.0,0.0,1701016200,1.0,3.0,0.0,0.1683,0.0,0.0,8.0,0.0,7.3,2.0,5.0
0.0,0.0,0.0,1701538200,3.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,6.4,0.0,1.0
2.0,0.0,1.0,1706963400,1.0,0.0,0.0,0.2868,0.0,0.0,10.0,1.0,6.2,0.0,3.0
0.0,0.0,0.0,1707568200,2.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,6.4,0.0,0.0
0.0,0.0,0.0,1709391600,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,1709987400,0.0,0.0,0.0085132,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,1712082600,5.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,6.6,0.0,2.0
0.0,0.0,0.0,1713702600,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,6.6,0.0,1.0
0.0,0.0,0.0,1713985200,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15.0,1.0,0.0,1714235400,11.0,5.0,0.109546,0.0578,0.0,0.0,89.0,0.0,7.1,0.0,22.0
2.0,0.0,0.0,1714762800,4.0,4.0,0.0052145,0.0,0.0,0.0,10.0,0.0,6.6,0.0,5.0
2.0,0.0,0.0,1715436000,1.0,2.0,0.136356,0.1503,0.0,0.0,11.0,1.0,7.3,1.0,2.0
1.0,0.0,0.0,1716130800,4.0,4.0,0.0,0.0,0.0,0.0,15.0,0.0,6.4,0.0,5.0
