accuratePass,bigChanceCreated,bigChanceMissed,date,duelLost,duelWon,expectedAssists,expectedGoals,goalAssist,goals,minutesPlayed,onTargetScoringAttempt,rating,shotOffTarget,totalPass
10.0,0.0,0.0,1691780400,5.0,6.0,0.0,0.0318,0.0,0.0,61.0,1.0,6.9,0.0,11.0
15.0,0.0,0.0,1693141200,7.0,3.0,0.022532,0.0511,0.0,0.0,81.0,0.0,6.6,1.0,16.0
14.0,1.0,0.0,1693663200,1.0,6.0,0.184643,0.027,0.0,0.0,60.0,0.0,7.4,1.0,14.0
18.0,0.0,0.0,1695062700,6.0,4.0,0.00879312,0.1554,0.0,1.0,64.0,2.0,7.1,0.0,21.0
10.0,0.0,1.0,1695495600,3.0,2.0,0.00989656,0.4626,0.0,0.0,73.0,1.0,6.6,1.0,12.0
6.0,0.0,1.0,1696082400,5.0,4.0,0.0,0.3025,0.0,0.0,58.0,1.0,6.3,0.0,8.0
17.0,0.0,0.0,1696357800,11.0,11.0,0.0330558,0.3404,0.0,0.0,74.0,1.0,7.3,1.0,27.0
19.0,0.0,0.0,1697896800,5.0,4.0,0.158568,0.1283,0.0,0.0,76.0,1.0,7.0,1.0,20.0
6.0,0.0,0.0,1698501600,5.0,4.0,0.0,0.217,0.0,0.0,45.0,0.0,6.6,1.0,6.0
21.0,0.0,1.0,1699110000,5.0,6.0,0.0231065,0.1469,0.0,0.0,78.0,0.0,6.7,2.0,24.0
6.0,0.0,0.0,1699714800,9.0,5.0,0.0,0.0481,0.0,0.0,80.0,1.0,6.4,0.0,11.0
20.0,0.0,0.0,1700924400,9.0,2.0,0.0505126,0.0903,0.0,0.0,73.0,1.0,6.8,1.0,25.0
19.0,0.0,0.0,1701529200,6.0,8.0,0.112527,0.2501,1.0,1.0,77.0,2.0,8.5,0.0,24.0
19.0,0.0,0.0,1701804600,6.0,4.0,0.0101999,0.1011,0.0,0.0,90.0,1.0,6.8,0.0,22.0
26.0,0.0,0.0,1702134000,7.0,1.0,0.0384913,0.0756,0.0,0.0,82.0,1.0,6.8,0.0,30.0
22.0,0.0,0.0,1702747800,4.0,3.0,0.0903941,0.0446,0.0,0.0,90.0,1.0,7.0,1.0,25.0
21.0,0.0,0.0,1703343600,6.0,3.0,0.0403759,0.0823,0.0,0.0,80.0,0.0,7.0,1.0,24.0
14.0,0.0,0.0,1703611800,10.0,4.0,0.0,0.1222,0.0,0.0,85.0,0.0,6.6,1.0,19.0
8.0,0.0,0.0,1703948400,3.0,1.0,0.115228,0.6787,0.0,1.0,59.0,2.0,7.4,0.0,11.0
13.0,0.0,0.0,1705088700,11.0,4.0,0.0179406,0.3302,0.0,1.0,83.0,1.0,7.2,0.0,22.0
9.0,0.0,1.0,1706729400,8.0,1.0,0.0,0.2269,0.0,0.0,59.0,0.0,5.9,1.0,12.0
6.0,0.0,0.0,1706972400,3.0,1.0,0.0,0.0176,0.0,0.0,63.0,0.0,6.6,0.0,10.0
15.0,1.0,1.0,1707577200,10.0,5.0,0.239339,0.3164,0.0,0.0,86.0,2.0,7.0,0.0,17.0
6.0,0.0,0.0,1708182000,2.0,2.0,0.0,0.0,0.0,0.0,45.0,0.0,6.7,0.0,11.0
4.0,0.0,0.0,1708786800,4.0,1.0,0.0,0.0,0.0,0.0,37.0,0.0,6.4,0.0,6.0
6.0,0.0,0.0,1709470800,1.0,3.0,0.0242446,0.0,0.0,0.0,21.0,0.0,6.7,0.0,8.0
7.0,0.0,0.0,1710601200,6.0,0.0,0.0186159,0.0861,0.0,0.0,20.0,2.0,6.7,0.0,8.0
6.0,0.0,0.0,1711810800,4.0,2.0,0.0,0.0626,0.0,0.0,45.0,0.0,6.4,0.0,6.0
2.0,0.0,0.0,1712412000,2.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,6.5,0.0,3.0
5.0,0.0,0.0,1713621600,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,6.6,0.0,6.0
3.0,0.0,0.0,1714226400,4.0,5.0,0.0,0.9314,0.0,1.0,33.0,1.0,7.7,1.0,3.0
2.0,0.0,0.0,1714831200,1.0,0.0,0.0,0.0249,0.0,0.0,11.0,0.0,6.5,0.0,2.0
0.0,0.0,0.0,1715436000,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,6.4,0.0,0.0
20.0,0.0,1.0,1716130800,5.0,3.0,0.0367026,0.4706,0.0,0.0,75.0,0.0,6.6,3.0,24.0
